Год,Метка_норм,Административный истец,Рассмотрено дел,Удовлетворено,Доля удовлетворенных,Отказано,Доля отказов,Прекращено,Судебные приказы,Доля приказов,Взысканная сумма (тыс. руб.),Средняя сумма взыскания (тыс. руб.)
2016,Гражданин Российской Федерации,Гражданин Российской Федерации,181569,131111,72.0,50458,27.0,22670,88480,48.0,957238,7
2017,Гражданин Российской Федерации,Гражданин Российской Федерации,218516,162265,74.0,56251,25.0,23258,121843,55.0,1424928,9
2016,Иностранный гражданин,Иностранный гражданин,5735,2399,41.0,3336,58.0,473,0,0.0,1145,0
2017,Иностранный гражданин,Иностранный гражданин,5576,1733,31.0,3843,68.0,675,0,0.0,1001,1
2016,Лица без гражданства,Лица без гражданства,397,204,51.0,193,48.0,45,0,0.0,9,0
2017,Лица без гражданства,Лица без гражданства,217,80,36.0,137,63.0,38,0,0.0,5,0
2016,Российская организация,Российская организация,116573,104785,89.0,11788,10.0,13712,42244,36.0,1395928,13
2017,Российская организация,Российская организация,108223,96952,89.0,11271,10.0,10003,59564,55.0,691031,7
2016,Иностранная организация,Иностранная организация,68,59,86.0,9,13.0,11,24,35.0,527,9
2017,Иностранная организация,Иностранная организация,72,54,75.0,18,25.0,13,0,0.0,1,0
2016,Международная организация,Международная организация,1071,1067,99.0,4,0.0,1,1063,99.0,8570,8
2017,Международная организация,Международная организация,4,3,75.0,1,25.0,0,0,0.0,0,0
2016,Российское общественное объединение,Российское общественное объединение,354,168,47.0,186,52.0,65,92,26.0,1655,10
2017,Российское общественное объединение,Российское общественное объединение,251,152,60.0,99,39.0,92,0,0.0,186,1
2016,Иностранное общественное объединение,Иностранное общественное объединение,3,2,66.0,1,33.0,0,0,0.0,0,0
2017,Иностранное общественное объединение,Иностранное общественное объединение,1,0,0.0,1,100.0,0,0,0.0,0,0
2016,Международное общественное объединение,Международное общественное объединение,4,0,0.0,4,100.0,0,0,0.0,0,0
2017,Международное общественное объединение,Международное общественное объединение,0,0,0.0,0,0.0,0,0,0.0,0,0
2016,Российская религиозная организация,Российская религиозная организация,81,69,85.0,12,14.0,6,62,76.0,2498,36
2017,Российская религиозная организация,Российская религиозная организация,14,6,42.0,8,57.0,1,0,0.0,0,0
2016,Иностранная религиозная организация,Иностранная религиозная организация,0,0,0.0,0,0.0,0,0,0.0,0,0
2017,Иностранная религиозная организация,Иностранная религиозная организация,0,0,0.0,0,0.0,0,0,0.0,0,0
2016,Международная религиозная организация,Международная религиозная организация,0,0,0.0,0,0.0,0,0,0.0,0,0
2017,Международная религиозная организация,Международная религиозная организация,0,0,0.0,0,0.0,0,0,0.0,0,0
2016,"Общественное объединение, не являющиеся юридическим лицом","Общественное объединение, не являющиеся юридическим лицом",60,18,30.0,42,70.0,7,3,5.0,29,2
