Год,Метка_норм,Административный ответчик,Рассмотрено дел,Удовлетворено,Доля удовлетворенных,Отказано,Доля отказов,Прекращено,Судебные приказы,Доля приказов,Взысканная сумма (тыс. руб.),Средняя сумма взыскания (тыс. руб.)
2016,Гражданин Российской Федерации,Гражданин Российской Федерации,0,0,0.0,0,0.0,0,0,0.0,0,0
2017,Гражданин Российской Федерации,Гражданин Российской Федерации,1543995,1503792,97.0,40203,2.0,15873,1387397,89.0,19505127,13
2016,Иностранный гражданин,Иностранный гражданин,0,0,0.0,0,0.0,0,0,0.0,0,0
2017,Иностранный гражданин,Иностранный гражданин,6022,5704,94.0,318,5.0,178,1444,24.0,126036,22
2016,Лица без гражданства,Лица без гражданства,0,0,0.0,0,0.0,0,0,0.0,0,0
2017,Лица без гражданства,Лица без гражданства,604,470,77.0,134,22.0,9,51,8.0,574,1
2016,Орган государственной власти,Орган государственной власти,60351,30179,50.0,30172,50.0,14476,2467,4.0,97955,3
2017,Орган государственной власти,Орган государственной власти,82154,44537,54.0,37617,45.0,18809,6511,7.0,204428,5
2016,Иной государственный орган,Иной государственный орган,86301,82626,95.0,3675,4.0,1887,79375,92.0,862282,10
2017,Иной государственный орган,Иной государственный орган,14445,9345,64.0,5100,35.0,2505,4654,32.0,73316,8
2016,Орган местного самоуправления,Орган местного самоуправления,28124,22192,78.0,5932,21.0,6357,0,0.0,4999,0
2017,Орган местного самоуправления,Орган местного самоуправления,33983,25921,76.0,8062,23.0,5969,0,0.0,61905,2
2016,Избирательная комиссия,Избирательная комиссия,1611,348,21.0,1263,78.0,469,0,0.0,0,0
2017,Избирательная комиссия,Избирательная комиссия,1066,270,25.0,796,74.0,179,0,0.0,20,0
2016,Комиссия референдума,Комиссия референдума,9,6,66.0,3,33.0,0,0,0.0,0,0
2017,Комиссия референдума,Комиссия референдума,7,0,0.0,7,100.0,2,0,0.0,0,0
2016,"Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями","Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями",22639,10465,46.0,12174,53.0,6905,12,0.0,50836,5
2017,"Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями","Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями",15002,7199,48.0,7803,52.0,4125,607,4.0,16967,2
2016,"Объединения и организации, не обладающие государственными или иными публичными полномочиями в спорных правоотношениях","Объединения и организации, не обладающие государственными или иными публичными полномочиями в спорных правоотношениях",0,0,0.0,0,0.0,0,0,0.0,0,0
2017,"Объединения и организации, не обладающие государственными или иными публичными полномочиями в спорных правоотношениях","Объединения и организации, не обладающие государственными или иными публичными полномочиями в спорных правоотношениях",12807,9403,73.0,3404,26.0,2228,622,4.0,24416,3
2016,Должностное лицо,Должностное лицо,13429,9264,69.0,4165,31.0,2176,6874,51.0,80662,9
2017,Должностное лицо,Должностное лицо,11007,5817,52.0,5190,47.0,2648,2946,26.0,46252,8
2016,Государственный служащий,Государственный служащий,1990,1145,57.0,845,42.0,572,696,35.0,7393,6
2017,Государственный служащий,Государственный служащий,1484,540,36.0,944,63.0,829,2,0.0,478,1
2016,Муниципальный служащий,Муниципальный служащий,2438,2404,98.0,34,1.0,43,2220,91.0,22675,9
2017,Муниципальный служащий,Муниципальный служащий,171,138,80.0,33,19.0,24,111,64.0,1672,12
2016,Президент России,Президент России,2,0,0.0,2,100.0,1,0,0.0,0,0
2017,Президент России,Президент России,7,0,0.0,7,100.0,0,0,0.0,0,0
2016,Совет Федерации,Совет Федерации,3,1,33.0,2,66.0,0,0,0.0,40,40
2017,Совет Федерации,Совет Федерации,0,0,0.0,0,0.0,0,0,0.0,0,0
2016,Государственная Дума,Государственная Дума,5,2,40.0,3,60.0,0,0,0.0,0,0
2017,Государственная Дума,Государственная Дума,3,1,33.0,2,66.0,0,0,0.0,0,0
2016,Правительство РФ,Правительство РФ,112,65,58.0,47,42.0,11,0,0.0,98,2
2017,Правительство РФ,Правительство РФ,98,19,19.0,79,80.0,5,0,0.0,79,4
2016,Правительственная комиссия по контролю за осуществлением иностранных инвестиций в РФ,Правительственная комиссия по контролю за осуществлением иностранных инвестиций в РФ,0,0,0.0,0,0.0,0,0,0.0,0,0
2017,Правительственная комиссия по контролю за осуществлением иностранных инвестиций в РФ,Правительственная комиссия по контролю за осуществлением иностранных инвестиций в РФ,0,0,0.0,0,0.0,0,0,0.0,0,0
2016,"Министерство внутренних дел РФ, включая главное управление по вопросам миграции и главное управление по контролю за оборотом наркотиков","Министерство внутренних дел РФ, включая главное управление по вопросам миграции и главное управление по контролю за оборотом наркотиков",4591,1850,40.0,2741,59.0,747,0,0.0,2226,1
2017,"Министерство внутренних дел РФ, включая главное управление по вопросам миграции и главное управление по контролю за оборотом наркотиков","Министерство внутренних дел РФ, включая главное управление по вопросам миграции и главное управление по контролю за оборотом наркотиков",7812,2787,35.0,5025,64.0,1430,0,0.0,8785,3
2016,Министерство здравоохранения РФ,Министерство здравоохранения РФ,57,22,38.0,35,61.0,27,0,0.0,0,0
2017,Министерство здравоохранения РФ,Министерство здравоохранения РФ,90,32,35.0,58,64.0,31,0,0.0,4411,138
2016,Министерство иностранных дел РФ,Министерство иностранных дел РФ,12,4,33.0,8,66.0,2,0,0.0,0,0
2017,Министерство иностранных дел РФ,Министерство иностранных дел РФ,11,3,27.0,8,72.0,3,0,0.0,0,0
2016,Министерство культуры РФ,Министерство культуры РФ,43,39,90.0,4,9.0,3,0,0.0,0,0
2017,Министерство культуры РФ,Министерство культуры РФ,24,8,33.0,16,66.0,5,0,0.0,0,0
2016,Министерство обороны РФ,Министерство обороны РФ,2839,1354,47.0,1485,52.0,603,0,0.0,19099,14
2017,Министерство обороны РФ,Министерство обороны РФ,3622,1512,41.0,2110,58.0,837,0,0.0,920,1
2016,Министерство образования и науки РФ,Министерство образования и науки РФ,45,26,57.0,19,42.0,13,0,0.0,0,0
2017,Министерство образования и науки РФ,Министерство образования и науки РФ,77,42,54.0,35,45.0,15,0,0.0,0,0
2016,Министерство природных ресурсов и экологии РФ,Министерство природных ресурсов и экологии РФ,110,79,71.0,31,28.0,17,0,0.0,23,0
2017,Министерство природных ресурсов и экологии РФ,Министерство природных ресурсов и экологии РФ,238,174,73.0,64,26.0,31,0,0.0,153,1
2016,Министерство промышленности и торговли РФ,Министерство промышленности и торговли РФ,14,6,42.0,8,57.0,3,0,0.0,0,0
2017,Министерство промышленности и торговли РФ,Министерство промышленности и торговли РФ,33,16,48.0,17,51.0,4,0,0.0,0,0
2016,"Министерство РФ по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий","Министерство РФ по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий",220,114,51.0,106,48.0,49,0,0.0,14,0
