Год,Метка_норм,Категория дел,Рассмотрено дел,Удовлетворено,Доля удовлетворенных,Отказано,Доля отказов,Прекращено,Судебные приказы,Доля приказов,Взысканная сумма (тыс. руб.),Средняя сумма взыскания (тыс. руб.)
2016,ВСЕГО,Всего дел об оспаривании нормативных правовых актов,2952,1650,55.0,1302,44.0,850,238,8.0,483,0
2017,ВСЕГО,Всего дел об оспаривании нормативных правовых актов,2617,1521,58.0,1096,41.0,705,0,0.0,295,0
2016,ВСЕГО,"Всего дел об оспаривании решений, действий (бездействия) органов государственной власти",113360,55620,49.0,57740,50.0,32543,156,0.0,125695,2
2017,ВСЕГО,"Всего дел об оспаривании решений, действий (бездействия) органов государственной власти",134238,67791,50.0,66447,49.0,36523,0,0.0,104503,2
2017,ВСЕГО,Всего дел об ограничении доступа к запрещенным информационным материалам (за исключением защиты интеллектуальной собственности),27,26,96.0,1,3.0,3,0,0.0,23,1
2016,ВСЕГО,Всего дел об ограничении доступа к запрещенным информационным материалам (за исключением защиты интеллектуальной собственности),21,20,95.0,1,4.0,2,0,0.0,0,0
2017,ВСЕГО,"Всего споров, возникающие из нарушений избирательного законодательства",1548,470,30.0,1078,69.0,227,0,0.0,870,2
2016,ВСЕГО,"Всего споров, возникающие из нарушений избирательного законодательства",2253,653,29.0,1600,71.0,530,0,0.0,849,1
2017,ВСЕГО,Всего дел об оспаривании результатов определения кадастровой стоимости,15939,15300,96.0,639,4.0,521,0,0.0,7596,0
2016,ВСЕГО,Всего дел об оспаривании результатов определения кадастровой стоимости,12780,12283,96.0,497,3.0,521,117,0.0,13402,1
2016,ВСЕГО,Всего о присуждении компенсации за нарушение права на судопроизводство в разумный срок,637,374,58.0,263,41.0,43,3,0.0,18322,49
2017,ВСЕГО,Всего о присуждении компенсации за нарушение права на судопроизводство в разумный срок,1128,831,73.0,297,26.0,42,0,0.0,86338,104
2016,ВСЕГО,"Всего дел, связанных с приостановлением деятельности или ликвидации общественных организаций",5427,5282,97.0,145,2.0,281,0,0.0,1399,0
2017,ВСЕГО,"Всего дел, связанных с приостановлением деятельности или ликвидации общественных организаций",6982,6781,97.0,201,2.0,337,0,0.0,1719,0
2016,ВСЕГО,Всего дел о помещении иностранного гражданина в специальное учреждение,6005,5701,94.0,304,5.0,220,2,0.0,5,0
2017,ВСЕГО,Всего дел о помещении иностранного гражданина в специальное учреждение,6465,5994,92.0,471,7.0,258,0,0.0,1,0
2016,ВСЕГО,"Всего дел, связанных с административным надзором",70495,68066,96.0,2429,3.0,1759,0,0.0,1251,0
2017,ВСЕГО,"Всего дел, связанных с административным надзором",75492,73106,96.0,2386,3.0,1560,0,0.0,4463,0
2016,ВСЕГО,Всего дел о принудительном психиатрическом или противотуберкулезном лечении или обследовании,29891,29296,98.0,595,2.0,1124,104,0.0,280,0
2017,ВСЕГО,Всего дел о принудительном психиатрическом или противотуберкулезном лечении или обследовании,30542,30024,98.0,518,1.0,965,0,0.0,23,0
2016,ВСЕГО,Всего дел о взыскании обязательных платежей и санкций,3719789,3658813,98.0,60976,1.0,76050,3256050,87.0,44970158,12
2017,ВСЕГО,Всего дел о взыскании обязательных платежей и санкций,3952826,3900220,98.0,52606,1.0,17717,3853241,97.0,46747493,12
2016,"ИТОГО дел, возникающих из административных и иных из публичных правоотношений","ИТОГО дел, возникающих из административных и иных из публичных правоотношений",3991008,3859931,96.0,131077,3.0,118480,3258888,81.0,273472,0
2017,"ИТОГО дел, возникающих из административных и иных из публичных правоотношений","ИТОГО дел, возникающих из административных и иных из публичных правоотношений",4244156,4115345,97.0,128811,3.0,61605,3853241,90.0,11323,0
2018,"Об оспаривании актов иных органов, наделенных публичными полномочиями, содержащие разъяснения законодательства и обладающие нормативными свойствами","Об оспаривании актов иных органов, наделенных публичными полномочиями, содержащие разъяснения законодательства и обладающие нормативными свойствами",187,74,39.6,113,60.4,46,0,0.0,4,0
2023,ВСЕГО,Всего об оспаривании нормативных правовых актов,5709,3854,68.0,1855,32.0,760,0,0.0,562,0
2019,ВСЕГО,Всего об оспаривании нормативных правовых актов,5086,3340,65.0,1746,34.0,795,0,0.0,388,0
2024,ВСЕГО,Всего об оспаривании нормативных правовых актов,5984,3970,66.0,2014,33.0,709,0,0.0,400,0
2020,ВСЕГО,Всего об оспаривании нормативных правовых актов,126,64,50.0,62,49.0,25,0,0.0,10,0
2022,ВСЕГО,Всего об оспаривании нормативных правовых актов,6187,4277,69.0,1910,30.0,745,0,0.0,428,0
2021,ВСЕГО,Всего об оспаривании нормативных правовых актов,349,212,60.0,137,39.0,47,0,0.0,0,0
2021,ВСЕГО,Всего об оспаривании решения квалификационной коллегии судей,13,3,23.0,10,76.0,0,0,0.0,0,0
2023,ВСЕГО,Всего об оспаривании решения квалификационной коллегии судей,22,1,5.0,21,95.0,1,0,0.0,0,0
2019,ВСЕГО,Всего об оспаривании решения квалификационной коллегии судей,18,1,5.0,17,94.0,0,0,0.0,0,0
2024,ВСЕГО,Всего об оспаривании решения квалификационной коллегии судей,17,1,5.0,16,94.0,0,0,0.0,0,0
2018,ВСЕГО,Всего об оспаривании решения квалификационной коллегии судей,23,4,17.4,19,82.6,0,0,0.0,0,0
2020,ВСЕГО,Всего об оспаривании решения квалификационной коллегии судей,13,0,0.0,13,100.0,0,0,0.0,0,0
2022,ВСЕГО,Всего об оспаривании решения квалификационной коллегии судей,12,1,8.0,11,91.0,0,0,0.0,0,0
2021,ВСЕГО,"Всего, возникающие из нарушений избирательного законодательства",1587,449,28.0,1138,71.0,210,0,0.0,2661,6
