Год,Метка_норм,Категория дел,Рассмотрено дел,Удовлетворено,Доля удовлетворенных,Отказано,Доля отказов,Прекращено,Судебные приказы,Доля приказов,Взысканная сумма (тыс. руб.),Средняя сумма взыскания (тыс. руб.)
2016,Об оспаривании нормативных правовых актов Президента России,Об оспаривании нормативных правовых актов Президента России,2,0,0.0,2,100.0,0,0,0.0,0,0
2017,Об оспаривании нормативных правовых актов Президента России,Об оспаривании нормативных правовых актов Президента России,5,0,0.0,5,100.0,0,0,0.0,0,0
2016,Об оспаривании нормативных правовых актов Правительства РФ,Об оспаривании нормативных правовых актов Правительства РФ,56,6,10.0,50,89.0,7,0,0.0,9,2
2017,Об оспаривании нормативных правовых актов Правительства РФ,Об оспаривании нормативных правовых актов Правительства РФ,56,1,1.0,55,98.0,3,0,0.0,0,0
2016,Об оспаривании нормативных правовых актов Генеральной прокуратуры РФ и Следственного комитета РФ,Об оспаривании нормативных правовых актов Генеральной прокуратуры РФ и Следственного комитета РФ,6,1,16.0,5,83.0,3,0,0.0,0,0
2017,Об оспаривании нормативных правовых актов Генеральной прокуратуры РФ и Следственного комитета РФ,Об оспаривании нормативных правовых актов Генеральной прокуратуры РФ и Следственного комитета РФ,3,0,0.0,3,100.0,0,0,0.0,0,0
2016,Об оспаривании нормативных правовых актов Судебного департамента при Верховном Суде РФ,Об оспаривании нормативных правовых актов Судебного департамента при Верховном Суде РФ,4,0,0.0,4,100.0,0,0,0.0,0,0
2017,Об оспаривании нормативных правовых актов Судебного департамента при Верховном Суде РФ,Об оспаривании нормативных правовых актов Судебного департамента при Верховном Суде РФ,3,0,0.0,3,100.0,0,0,0.0,0,0
2016,Об оспаривании нормативных правовых актов федеральных органов исполнительной власти,Об оспаривании нормативных правовых актов федеральных органов исполнительной власти,86,18,20.0,68,79.0,20,0,0.0,79,4
2017,Об оспаривании нормативных правовых актов федеральных органов исполнительной власти,Об оспаривании нормативных правовых актов федеральных органов исполнительной власти,92,21,22.0,71,77.0,13,0,0.0,118,6
2016,Об оспаривании нормативных правовых актов Центрального банка РФ,Об оспаривании нормативных правовых актов Центрального банка РФ,4,0,0.0,4,100.0,2,0,0.0,0,0
2017,Об оспаривании нормативных правовых актов Центрального банка РФ,Об оспаривании нормативных правовых актов Центрального банка РФ,3,0,0.0,3,100.0,0,0,0.0,0,0
2016,Об оспаривании нормативных правовых актов государственных внебюджетных фондов и государственных корпораций,Об оспаривании нормативных правовых актов государственных внебюджетных фондов и государственных корпораций,16,9,56.0,7,43.0,3,0,0.0,56,6
2017,Об оспаривании нормативных правовых актов государственных внебюджетных фондов и государственных корпораций,Об оспаривании нормативных правовых актов государственных внебюджетных фондов и государственных корпораций,3,1,33.0,2,66.0,1,0,0.0,0,0
2016,Об оспаривании нормативных правовых актов органов государственной власти субъектов Федерации и представительных органов муниципальных образований,Об оспаривании нормативных правовых актов органов государственной власти субъектов Федерации и представительных органов муниципальных образований,2235,1196,53.0,1039,46.0,670,0,0.0,340,0
2017,Об оспаривании нормативных правовых актов органов государственной власти субъектов Федерации и представительных органов муниципальных образований,Об оспаривании нормативных правовых актов органов государственной власти субъектов Федерации и представительных органов муниципальных образований,2108,1352,64.0,756,35.0,534,0,0.0,155,0
2016,Об оспаривании закона субъекта Федерации о роспуске муниципальных собраний,Об оспаривании закона субъекта Федерации о роспуске муниципальных собраний,21,15,71.0,6,28.0,1,0,0.0,0,0
2017,Об оспаривании закона субъекта Федерации о роспуске муниципальных собраний,Об оспаривании закона субъекта Федерации о роспуске муниципальных собраний,13,2,15.0,11,84.0,1,0,0.0,0,0
