Год,Метка_норм,Показатель,Рассмотрено дел,Удовлетворено исков,Доля удовлетворенных исков,Взысканная сумма (тыс. рублей),Доля удовлетворённых требований,Средняя сумма иска (тыс. рублей)
2017,Споры о заключении договоров (всего),Споры о заключении договоров (всего),3781,1710,45.0,578298,8.0,338
2016,Споры о заключении договоров (всего),Споры о заключении договоров (всего),4644,2271,48.0,1025166,42.0,451
2017,Споры о заключении государственных контрактов,Споры о заключении государственных контрактов,255,133,52.0,77296,3.0,581
2016,Споры о заключении государственных контрактов,Споры о заключении государственных контрактов,337,176,52.0,171636,44.0,975
2017,Споры в сфере государственных закупок,Споры в сфере государственных закупок,11958,9565,80.0,9119345,39.0,953
2016,Споры в сфере государственных закупок,Споры в сфере государственных закупок,9396,6661,70.0,8456276,38.0,1270
2017,Споры о признании договоров недействительными,Споры о признании договоров недействительными,6069,2290,37.0,3414924,40.0,1491
2016,Споры о признании договоров недействительными,Споры о признании договоров недействительными,7791,2806,36.0,1596579,10.0,569
2017,Споры по договорам купли-продажи и поставки,Споры по договорам купли-продажи и поставки,473785,381369,80.0,618365187,46.0,1621
2016,Споры по договорам купли-продажи и поставки,Споры по договорам купли-продажи и поставки,435416,337489,77.0,571729024,49.0,1694
2017,Споры по договорам поставки (всего),Споры по договорам поставки (всего),185617,146754,79.0,295162721,54.0,2011
2016,Споры по договорам поставки (всего),Споры по договорам поставки (всего),191856,147580,76.0,256816496,48.0,1740
2017,Споры по государственным контрактам,Споры по государственным контрактам,13475,11203,83.0,7199968,41.0,643
2016,Споры по государственным контрактам,Споры по государственным контрактам,9226,7261,78.0,5576618,49.0,768
2017,Споры по договорам энергоснабжения,Споры по договорам энергоснабжения,272187,222444,81.0,296736314,41.0,1334
2016,Споры по договорам энергоснабжения,Споры по договорам энергоснабжения,223767,176105,78.0,288369150,53.0,1637
2017,Споры по договорам купли-продажи недвижимости и предприятий,Споры по договорам купли-продажи недвижимости и предприятий,2057,1321,64.0,3641476,51.0,2757
2016,Споры по договорам купли-продажи недвижимости и предприятий,Споры по договорам купли-продажи недвижимости и предприятий,3084,964,31.0,3813431,37.0,3956
2017,Споры по договорам аренды,Споры по договорам аренды,73508,56230,76.0,62082273,27.0,1104
2016,Споры по договорам аренды,Споры по договорам аренды,78337,58891,75.0,66901449,47.0,1136
