Год,Метка_норм,Показатель,Рассмотрено дел,Вынесено решений,Прекращено производство,Заключено мировое соглашение
2017,"Экономические споры и другие дела, возникающие из гражданских правоотношений","Экономические споры и другие дела, возникающие из гражданских правоотношений",1176141,987619,144728,28368
2016,"Экономические споры и другие дела, возникающие из гражданских правоотношений","Экономические споры и другие дела, возникающие из гражданских правоотношений",1232636,1011759,162897,34183
2017,"Экономические споры и другие дела, возникающие из административных и иных публичных правоотношений","Экономические споры и другие дела, возникающие из административных и иных публичных правоотношений",518146,482910,30100,177
2016,"Экономические споры и другие дела, возникающие из административных и иных публичных правоотношений","Экономические споры и другие дела, возникающие из административных и иных публичных правоотношений",297541,251145,41019,188
2017,"Об установлении фактов, имеющих юридическое значение","Об установлении фактов, имеющих юридическое значение",1015,480,86,0
2016,"Об установлении фактов, имеющих юридическое значение","Об установлении фактов, имеющих юридическое значение",1219,672,109,0
2017,О несостоятельности (банкротстве),О несостоятельности (банкротстве),46642,28665,16216,989
2016,О несостоятельности (банкротстве),О несостоятельности (банкротстве),31788,14864,15392,769
2017,Об оспаривании решений третейских судов и о выдаче исполнительных листов на принудительное исполнение решений третейских судов,Об оспаривании решений третейских судов и о выдаче исполнительных листов на принудительное исполнение решений третейских судов,5791,4912,516,33
2016,Об оспаривании решений третейских судов и о выдаче исполнительных листов на принудительное исполнение решений третейских судов,Об оспаривании решений третейских судов и о выдаче исполнительных листов на принудительное исполнение решений третейских судов,7901,6666,839,37
2017,О признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,О признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,244,209,19,1
2016,О признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,О признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,231,187,18,3
2017,ВСЕГО,Всего,1747979,1504795,191665,29568
2016,ВСЕГО,Всего,1571316,1285293,220274,35180
2024,"Экономические споры и другие дела, возникающие из гражданских правоотношений","Экономические споры и другие дела, возникающие из гражданских правоотношений",1099872,950028,118057,33532
2021,"Экономические споры и другие дела, возникающие из гражданских правоотношений","Экономические споры и другие дела, возникающие из гражданских правоотношений",1107230,956651,118712,29684
2018,"Экономические споры и другие дела, возникающие из гражданских правоотношений","Экономические споры и другие дела, возникающие из гражданских правоотношений",1149972,969040,145331,29495
2019,"Экономические споры и другие дела, возникающие из гражданских правоотношений","Экономические споры и другие дела, возникающие из гражданских правоотношений",1167010,981891,147376,31098
2020,"Экономические споры и другие дела, возникающие из гражданских правоотношений","Экономические споры и другие дела, возникающие из гражданских правоотношений",1089482,934732,120618,28023
2022,"Экономические споры и другие дела, возникающие из гражданских правоотношений","Экономические споры и другие дела, возникающие из гражданских правоотношений",1096383,943720,120983,30547
2023,"Экономические споры и другие дела, возникающие из гражданских правоотношений","Экономические споры и другие дела, возникающие из гражданских правоотношений",1089475,942817,116902,30962
2024,"Экономические споры и другие дела, возникающие из административных и иных публичных правоотношений","Экономические споры и другие дела, возникающие из административных и иных публичных правоотношений",259425,233512,19368,140
2021,"Экономические споры и другие дела, возникающие из административных и иных публичных правоотношений","Экономические споры и другие дела, возникающие из административных и иных публичных правоотношений",237395,213572,18007,144
2018,"Экономические споры и другие дела, возникающие из административных и иных публичных правоотношений","Экономические споры и другие дела, возникающие из административных и иных публичных правоотношений",694867,662625,27274,268
2019,"Экономические споры и другие дела, возникающие из административных и иных публичных правоотношений","Экономические споры и другие дела, возникающие из административных и иных публичных правоотношений",623800,581146,36818,341
2020,"Экономические споры и другие дела, возникающие из административных и иных публичных правоотношений","Экономические споры и другие дела, возникающие из административных и иных публичных правоотношений",314507,285715,21481,211
2022,"Экономические споры и другие дела, возникающие из административных и иных публичных правоотношений","Экономические споры и другие дела, возникающие из административных и иных публичных правоотношений",281879,255687,19747,142
2023,"Экономические споры и другие дела, возникающие из административных и иных публичных правоотношений","Экономические споры и другие дела, возникающие из административных и иных публичных правоотношений",294205,269512,18936,137
2024,"Об установлении фактов, имеющих юридическое значение","Об установлении фактов, имеющих юридическое значение",929,589,36,0
