Год,Метка_норм,Показатель,Рассмотрено дел,Удовлетворено,Доля удовлетворенных,Отказано,Доля отказов,Прекращено,Судебные приказы,Доля приказов,Взысканная сумма (тыс. руб.),Средняя сумма взыскания (тыс. руб.)
2016,Заявления физических лиц к юридическим лицам,Заявления физических лиц к юридическим лицам,2038116,1753469,86.0,284647,14.0,140052,401156,19.0,159361080,91
2017,Заявления физических лиц к юридическим лицам,Заявления физических лиц к юридическим лицам,1804153,1587783,88.0,216370,12.0,107480,439100,24.0,536499940,338
2016,– из них к государственным органам,– из них к государственным органам,223249,178322,79.0,44927,20.0,14307,8852,4.0,3803027,21
2017,– из них к государственным органам,– из них к государственным органам,193802,153923,79.0,39879,20.0,11144,13100,6.0,2793367,18
2016,Заявления юридических лиц к физическим лицам,Заявления юридических лиц к физическим лицам,7794530,7698307,98.0,96223,1.0,232462,5644181,72.0,902222053,117
2017,Заявления юридических лиц к физическим лицам,Заявления юридических лиц к физическим лицам,9892375,9810823,99.0,81552,0.0,112416,8783310,88.0,936175906,95
2016,– из них государственных органов к физическим лицам,– из них государственных органов к физическим лицам,228921,218068,95.0,10853,4.0,14371,112056,48.0,25649428,118
2017,– из них государственных органов к физическим лицам,– из них государственных органов к физическим лицам,211854,202558,95.0,9296,4.0,10940,113439,53.0,21679022,107
2016,Заявления физических лиц к физическим лицам,Заявления физических лиц к физическим лицам,1665578,1550573,93.0,115005,6.0,190516,378827,22.0,170470738,110
2017,Заявления физических лиц к физическим лицам,Заявления физических лиц к физическим лицам,1681767,1567279,93.0,114488,6.0,180724,456645,27.0,170129745,109
2016,Заявления юридических лиц к юридическим лицам,Заявления юридических лиц к юридическим лицам,54224,50888,93.0,3336,6.0,6508,6810,12.0,4814659,95
2017,Заявления юридических лиц к юридическим лицам,Заявления юридических лиц к юридическим лицам,54376,50530,92.0,3846,7.0,6029,11582,21.0,3732029,74
2018,Заявления физических лиц к юридическим лицам,Заявления физических лиц к юридическим лицам,1491730,1305791,87.5,185939,12.5,84201,329003,22.1,2505356,2
2023,Заявления физических лиц к юридическим лицам,Заявления физических лиц к юридическим лицам,731471,629816,86.0,101655,14.0,47927,47711,7.0,222423314,353
