Год,Метка_норм,Показатель,Рассмотрено дел,Удовлетворено,Доля удовлетворенных,Отказано,Доля отказов,Прекращено,Судебные приказы,Доля приказов,Взысканная сумма (тыс. руб.),Средняя сумма взыскания (тыс. руб.)
2017,ВСЕГО,"Всего споров, возникающих из семейных правоотношений",926708,896235,96.0,30473,3.0,103644,230796,24.0,10119006,11
2016,ВСЕГО,"Всего споров, возникающих из семейных правоотношений",932196,902844,96.0,29352,3.0,105711,228833,24.0,17718160,20
2016,ВСЕГО,"Всего споров, возникающих из трудовых правоотношений",565356,525810,93.0,39546,7.0,32370,394792,69.0,25734371,49
2017,ВСЕГО,"Всего споров, возникающих из трудовых правоотношений",553613,517217,93.0,36396,6.0,18310,426985,77.0,20134947,39
2016,ВСЕГО,"Всего споров, возникающих из пенсионного законодательства",77800,69391,89.0,8409,10.0,1843,695,0.0,288072,4
2017,ВСЕГО,"Всего споров, возникающих из пенсионного законодательства",83852,74412,88.0,9440,11.0,3329,1528,1.0,430282,6
2016,ВСЕГО,Всего социальных споров,60954,51635,84.0,9319,15.0,5782,3671,6.0,1966385,38
2017,ВСЕГО,Всего социальных споров,47027,38248,81.0,8603,18.0,4168,1751,3.0,1846815,48
2016,ВСЕГО,"Всего споров, вытекающих из жилищного законодательства",4311635,4241848,98.0,69787,1.0,158208,3272530,75.0,86106723,20
2017,ВСЕГО,"Всего споров, вытекающих из жилищного законодательства",5658178,5605191,99.0,52987,0.0,57607,5217514,92.0,128170946,23
2016,ВСЕГО,"Всего споров, связанных с землепользованием",167441,144185,86.0,23256,13.0,22310,2008,1.0,1528097,11
2017,ВСЕГО,"Всего споров, связанных с землепользованием",179830,155365,86.0,24465,13.0,22879,7029,3.0,1918373,12
2016,ВСЕГО,Всего споров о защите интеллектуальной собственности,962,834,86.0,128,13.0,107,6,0.0,315689,379
2017,ВСЕГО,Всего споров о защите интеллектуальной собственности,1235,1074,87.0,161,13.0,154,0,0.0,165131,154
2016,ВСЕГО,Всего споров о защите прав потребителей,396930,275683,69.0,121247,30.0,36009,15884,4.0,37450490,136
2017,ВСЕГО,Всего споров о защите прав потребителей,303287,241791,79.0,61496,20.0,32652,30065,9.0,31598409,131
2016,ВСЕГО,"Всего споров, связанных с наследованием имущества",92260,83529,90.0,8731,9.0,5220,5,0.0,789885,9
