Год,Метка_норм,Показатель,Рассмотрено дел,Удовлетворено,Доля удовлетворенных,Отказано,Доля отказов,Прекращено,Судебные приказы,Доля приказов,Взысканная сумма (тыс. руб.),Средняя сумма взыскания (тыс. руб.)
2016,"О расторжении брака супругов, имеющих детей","О расторжении брака супругов, имеющих детей",80875,80728,99.0,147,0.0,11510,103,0.0,41586,1
2017,"О расторжении брака супругов, имеющих детей","О расторжении брака супругов, имеющих детей",78767,78627,99.0,140,0.0,11045,0,0.0,48783,1
2016,О расторжении брака бездетных супругов или имеющих взрослых детей,О расторжении брака бездетных супругов или имеющих взрослых детей,444,387,87.0,57,12.0,68,89,20.0,442,1
2017,О расторжении брака бездетных супругов или имеющих взрослых детей,О расторжении брака бездетных супругов или имеющих взрослых детей,487,373,76.0,114,23.0,87,0,0.0,8665,23
2016,О признании брака недействительным,О признании брака недействительным,89,37,41.0,52,58.0,12,0,0.0,1055,29
2017,О признании брака недействительным,О признании брака недействительным,262,135,51.0,127,48.0,52,44,16.0,5327,39
2016,"Об изменении, расторжении и признании недействительным брачного договора","Об изменении, расторжении и признании недействительным брачного договора",21400,18854,88.0,2546,11.0,9530,4,0.0,7611383,404
2017,"Об изменении, расторжении и признании недействительным брачного договора","Об изменении, расторжении и признании недействительным брачного договора",22814,20105,88.0,2709,11.0,9936,7,0.0,4640787,231
2016,О разделе совместно нажитого имущества между супругами,О разделе совместно нажитого имущества между супругами,245,173,70.0,72,29.0,64,0,0.0,9075,52
2017,О разделе совместно нажитого имущества между супругами,О разделе совместно нажитого имущества между супругами,595,386,64.0,209,35.0,156,0,0.0,13858,36
2016,О выделе доли супруга-должника из общего имущества супругов для обращения на нее взыскания,О выделе доли супруга-должника из общего имущества супругов для обращения на нее взыскания,4502,3970,88.0,532,11.0,515,847,18.0,37049,9
2017,О выделе доли супруга-должника из общего имущества супругов для обращения на нее взыскания,О выделе доли супруга-должника из общего имущества супругов для обращения на нее взыскания,3742,3153,84.0,589,15.0,515,0,0.0,15571,5
2016,О взыскании алиментов на содержание совершеннолетнего нетрудоспособного члена семьи,О взыскании алиментов на содержание совершеннолетнего нетрудоспособного члена семьи,322353,318897,98.0,3456,1.0,7359,226208,70.0,5797388,18
2017,О взыскании алиментов на содержание совершеннолетнего нетрудоспособного члена семьи,О взыскании алиментов на содержание совершеннолетнего нетрудоспособного члена семьи,313485,310299,99.0,3186,1.0,6252,229794,73.0,845907,3
2016,О взыскании алиментов на содержание несовершеннолетних детей,О взыскании алиментов на содержание несовершеннолетних детей,1017,886,87.0,131,12.0,62,52,5.0,153323,173
2017,О взыскании алиментов на содержание несовершеннолетних детей,О взыскании алиментов на содержание несовершеннолетних детей,1784,1552,87.0,232,13.0,82,356,20.0,174987,113
2016,"Об определении размера задолженности по алиментам, в т. ч.определенной судебным приставом-исполнителем","Об определении размера задолженности по алиментам, в т.ч. определенной судебным приставом-исполнителем",14873,14246,95.0,627,4.0,1570,2,0.0,39376,3
2017,"Об определении размера задолженности по алиментам, в т. ч.определенной судебным приставом-исполнителем","Об определении размера задолженности по алиментам, в т.ч. определенной судебным приставом-исполнителем",13172,12764,96.0,408,3.0,1383,0,0.0,17546,1
2016,Об установлении отцовства,Об установлении отцовства,4815,4287,89.0,528,11.0,668,3,0.0,3572,1
2017,Об установлении отцовства,Об установлении отцовства,8815,7652,86.0,1163,13.0,1337,0,0.0,7256,1
2016,Об оспаривании отцовства (материнства),Об оспаривании отцовства (материнства),47484,40890,86.0,6594,13.0,2441,0,0.0,51673,1
2017,Об оспаривании отцовства (материнства),Об оспаривании отцовства (материнства),43342,36970,85.0,6372,14.0,2104,0,0.0,44244,1
2016,О лишении родительских прав,О лишении родительских прав,3496,2978,85.0,518,14.0,327,0,0.0,197,0
2017,О лишении родительских прав,О лишении родительских прав,6213,5184,83.0,1029,16.0,645,0,0.0,1831,0
2016,Об ограничении родительских прав,Об ограничении родительских прав,1543,1173,76.0,370,24.0,87,2,0.0,124,0
2017,Об ограничении родительских прав,Об ограничении родительских прав,2779,2043,73.0,736,26.0,151,0,0.0,286,0
2016,О восстановлении в родительских правах,О восстановлении в родительских правах,411,310,75.0,101,24.0,41,0,0.0,65,0
2017,О восстановлении в родительских правах,О восстановлении в родительских правах,379,285,75.0,94,24.0,39,0,0.0,19,0
2016,Об отмене усыновления детей,Об отмене усыновления детей,180,150,83.0,30,16.0,58,0,0.0,4693,31
2017,Об отмене усыновления детей,Об отмене усыновления детей,457,402,88.0,55,12.0,123,0,0.0,3689,9
2016,"Споры, связанные с осуществлением несовершеннолетними своих прав","Споры, связанные с осуществлением несовершеннолетними своих прав",140,107,76.0,33,23.0,35,0,0.0,1,0
2017,"Споры, связанные с осуществлением несовершеннолетними своих прав","Споры, связанные с осуществлением несовершеннолетними своих прав",52,36,69.0,16,30.0,12,0,0.0,12810,356
2016,О возвращении ребенка или об осуществлении в отношении ребенка прав доступа на основании международного договора Российской Федерации,О возвращении ребенка или об осуществлении в отношении ребенка прав доступа на основании международного договора Российской Федерации,239,159,66.0,80,33.0,21,2,0.0,1392,9
2017,О возвращении ребенка или об осуществлении в отношении ребенка прав доступа на основании международного договора Российской Федерации,О возвращении ребенка или об осуществлении в отношении ребенка прав доступа на основании международного договора Российской Федерации,306,234,76.0,72,23.0,35,0,0.0,112,0
2016,О признании недействительным решения об отказе в распоряжении средствами ( ч.ю средств) материнского (семейного) капитала,О признании недействительным решения об отказе в распоряжении средствами (частью средств) материнского (семейного) капитала,1031,976,94.0,55,5.0,250,0,0.0,16412,17
2017,О признании недействительным решения об отказе в распоряжении средствами ( ч.ю средств) материнского (семейного) капитала,О признании недействительным решения об отказе в распоряжении средствами (частью средств) материнского (семейного) капитала,2224,2120,95.0,104,4.0,583,0,0.0,36362,17
2016,"Иные споры, возникающие при реализации закона материнском (семейном) капиталеО признании недействительным акта органов опеки и попечительства, в том числе о назначении опекуном (попечителем), об освобождении, отстранении опекуна (попечителя) от исполнения","Иные споры, возникающие при реализации закона материнском (семейном) капиталеО признании недействительным акта органов опеки и попечительства, в том числе о назначении опекуном (попечителем), об освобождении, отстранении опекуна (попечителя) от исполнения",114,61,53.0,53,46.0,20,0,0.0,349,6
2017,"Иные споры, возникающие при реализации закона материнском (семейном) капиталеО признании недействительным акта органов опеки и попечительства, в том числе о назначении опекуном (попечителем), об освобождении, отстранении опекуна (попечителя) от исполнения","Иные споры, возникающие при реализации закона материнском (семейном) капиталеО признании недействительным акта органов опеки и попечительства, в том числе о назначении опекуном (попечителем), об освобождении, отстранении опекуна (попечителя) от исполнения",163,76,46.0,87,53.0,25,0,0.0,92,1
2016,"Иные споры об опеке и попечительстве над несовершеннолетними, недееспособными гражданами, гражданами ограниченными в дееспособности","Иные споры об опеке и попечительстве над несовершеннолетними, недееспособными гражданами, гражданами ограниченными в дееспособности",162,122,75.0,40,24.0,40,13,8.0,2195,18
2017,"Иные споры об опеке и попечительстве над несовершеннолетними, недееспособными гражданами, гражданами ограниченными в дееспособности","Иные споры об опеке и попечительстве над несовершеннолетними, недееспособными гражданами, гражданами ограниченными в дееспособности",364,279,76.0,85,23.0,134,0,0.0,1861,7
2016,"Споры, связанные с воспитанием детей","Споры, связанные с воспитанием детей",19797,16932,85.0,2865,14.0,7843,1,0.0,39550,2
2017,"Споры, связанные с воспитанием детей","Споры, связанные с воспитанием детей",17098,14836,86.0,2262,13.0,7404,4,0.0,15623,1
2017,"О признании недействительным решения комиссии по жилищным правам детей-сирот и детей, оставшихся без попечения родителей, по вопросам обеспечения жилым помещением","О признании недействительным решения комиссии по жилищным правам детей-сирот и детей, оставшихся без попечения родителей, по вопросам обеспечения жилым помещением",633,480,75.0,153,24.0,37,0,0.0,13,0
2017,"Иные споры, возникающие при реализации Федерального закона &quot;О дополнительных гарантиях по социальной поддержке детей-сирот и детей, оставшихся без попечения родителей&quot;","Иные споры, возникающие при реализации Федерального закона &quot;О дополнительных гарантиях по социальной поддержке детей-сирот и детей, оставшихся без попечения родителей&quot;",7159,6707,93.0,452,6.0,253,0,0.0,2986,0
2016,"О признании недействительным решения комиссии по жилищным правам детей-сирот и детей, оставшихся без попечения родителей, по вопросам обеспечения жилым помещением","О признании недействительным решения комиссии по жилищным правам детей-сирот и детей, оставшихся без попечения родителей, по вопросам обеспечения жилым помещением",324,232,71.0,92,28.0,20,0,0.0,200,1
2016,"Иные споры, возникающие при реализации Федерального закона &quot;О дополнительных гарантиях по социальной поддержке детей-сирот и детей, оставшихся без попечения родителей&quot;","Иные споры, возникающие при реализации Федерального закона &quot;О дополнительных гарантиях по социальной поддержке детей-сирот и детей, оставшихся без попечения родителей&quot;",3286,3024,92.0,262,8.0,112,3,0.0,2675,1
2017,О признании недействительным решения органа власти об отказе в предоставлении ребенку места в дошкольном образовательном учреждении,О признании недействительным решения органа власти об отказе в предоставлении ребенку места в дошкольном образовательном учреждении,168,87,51.0,81,48.0,42,0,0.0,281,3
2016,О признании недействительным решения органа власти об отказе в предоставлении ребенку места в дошкольном образовательном учреждении,О признании недействительным решения органа власти об отказе в предоставлении ребенку места в дошкольном образовательном учреждении,356,157,44.0,199,55.0,71,0,0.0,856,5
2017,"О признании недействительным отказа органа записи актов гражданского состояния в регистрационных действиях, аннулировании записей актов гражданского состояния","О признании недействительным отказа органа записи актов гражданского состояния в регистрационных действиях, аннулировании записей актов гражданского состояния",122,108,88.0,14,11.0,5,0,0.0,1162,11
2016,"О признании недействительным отказа органа записи актов гражданского состояния в регистрационных действиях, аннулировании записей актов гражданского состояния","О признании недействительным отказа органа записи актов гражданского состояния в регистрационных действиях, аннулировании записей актов гражданского состояния",89,79,88.0,10,11.0,3,2,2.0,479,6
2017,Иски о взыскании детских пособий (если гражданами оспаривается право на выплату пособия или его размер ),Иски о взыскании детских пособий (если гражданами оспаривается право на выплату пособия или его размер ),488,372,76.0,116,23.0,110,13,2.0,13405,36
2016,Иски о взыскании детских пособий (если гражданами оспаривается право на выплату пособия или его размер ),Иски о взыскании детских пособий (если гражданами оспаривается право на выплату пособия или его размер ),1391,1224,88.0,167,12.0,57,38,2.0,675803,552
2017,"Иные, возникающие из семейных правоотношений","Иные, возникающие из семейных правоотношений",62840,53427,85.0,9413,15.0,5464,578,0.0,4131614,77
2016,"Иные, возникающие из семейных правоотношений","Иные, возникающие из семейных правоотношений",66449,57164,86.0,9285,14.0,6419,709,1.0,3130965,55
2017,Дела о восстановлении на работе (службе) в связи с увольнением по инициативе работодателя,Дела о восстановлении на работе (службе) в связи с увольнением по инициативе работодателя,8202,3310,40.0,4892,59.0,1637,0,0.0,351487,106
2016,Дела о восстановлении на работе (службе) в связи с увольнением по инициативе работодателя,Дела о восстановлении на работе (службе) в связи с увольнением по инициативе работодателя,9096,3817,42.0,5279,58.0,1778,79,0.0,317763,83
2017,"Дела о восстановлении на работе (службе) в связи с увольнением по обстоятельствам, не зависящим от воли сторон","Дела о восстановлении на работе (службе) в связи с увольнением по обстоятельствам, не зависящим от воли сторон",230,86,37.0,144,62.0,40,0,0.0,5648,66
2016,"Дела о восстановлении на работе (службе) в связи с увольнением по обстоятельствам, не зависящим от воли сторон","Дела о восстановлении на работе (службе) в связи с увольнением по обстоятельствам, не зависящим от воли сторон",331,105,31.0,226,68.0,39,13,3.0,6142,58
2017,Дела о восстановлении на работе (службе) в связи с увольнением вследствие нарушения установленных правил заключения трудового договора,Дела о восстановлении на работе (службе) в связи с увольнением вследствие нарушения установленных правил заключения трудового договора,208,99,47.0,109,52.0,38,0,0.0,8691,88
2016,Дела о восстановлении на работе (службе) в связи с увольнением вследствие нарушения установленных правил заключения трудового договора,Дела о восстановлении на работе (службе) в связи с увольнением вследствие нарушения установленных правил заключения трудового договора,321,150,46.0,171,53.0,53,31,9.0,5573,37
2017,Дела о восстановлении на работе (службе) в связи с признанием приказа об увольнении недействительным,Дела о восстановлении на работе (службе) в связи с признанием приказа об увольнении недействительным,576,120,20.0,456,79.0,44,0,0.0,9661,81
2016,Дела о восстановлении на работе (службе) в связи с признанием приказа об увольнении недействительным,Дела о восстановлении на работе (службе) в связи с признанием приказа об увольнении недействительным,478,118,24.0,360,75.0,40,0,0.0,5524,47
2017,"Дела о восстановлении на работе (службе), связанные с прекращением допуска к государственной тайне","Дела о восстановлении на работе (службе), связанные с прекращением допуска к государственной тайне",32,10,31.0,22,68.0,3,0,0.0,210,21
2016,"Дела о восстановлении на работе (службе), связанные с прекращением допуска к государственной тайне","Дела о восстановлении на работе (службе), связанные с прекращением допуска к государственной тайне",13,3,23.0,10,76.0,1,0,0.0,0,0
2017,"Дела о восстановлении на работе (службе), связанные с несоблюдением ограничений и запретов, установленных в целях противодействия коррупции","Дела о восстановлении на работе (службе), связанные с несоблюдением ограничений и запретов, установленных в целях противодействия коррупции",60,17,28.0,43,71.0,8,0,0.0,677,40
2016,"Дела о восстановлении на работе (службе), связанные с несоблюдением ограничений и запретов, установленных в целях противодействия коррупции","Дела о восстановлении на работе (службе), связанные с несоблюдением ограничений и запретов, установленных в целях противодействия коррупции",35,17,48.0,18,51.0,6,1,2.0,1259,74
2017,Иные споры по делам о восстановлении на работе (службе),Иные споры по делам о восстановлении на работе (службе),3155,1070,33.0,2085,66.0,585,0,0.0,80329,75
2016,Иные споры по делам о восстановлении на работе (службе),Иные споры по делам о восстановлении на работе (службе),5197,1950,37.0,3247,62.0,962,7,0.0,151205,78
2017,"О признании недействительным решения работодателя об отказе в приеме на работу, заключении трудового договора","О признании недействительным решения работодателя об отказе в приеме на работу, заключении трудового договора",253,58,22.0,195,77.0,37,0,0.0,1470,25
2016,"О признании недействительным решения работодателя об отказе в приеме на работу, заключении трудового договора","О признании недействительным решения работодателя об отказе в приеме на работу, заключении трудового договора",212,61,28.0,151,71.0,24,24,11.0,636,10
2017,О признании недействительным решения работодателя об отказе в поступлении на государственную (муниципальную) службу,О признании недействительным решения работодателя об отказе в поступлении на государственную (муниципальную) службу,37,7,18.0,30,81.0,1,0,0.0,31,4
2016,О признании недействительным решения работодателя об отказе в поступлении на государственную (муниципальную) службу,О признании недействительным решения работодателя об отказе в поступлении на государственную (муниципальную) службу,40,13,32.0,27,67.0,3,2,5.0,249,19
2017,О признании недействительным предписаний Государственной инспекции труда,О признании недействительным предписаний Государственной инспекции труда,281,186,66.0,95,33.0,66,0,0.0,1345,7
2016,О признании недействительным предписаний Государственной инспекции труда,О признании недействительным предписаний Государственной инспекции труда,365,214,58.0,151,41.0,34,1,0.0,312,1
2017,"О признании недействительным заключения служебной проверки, дисциплинарных взысканий, результатов аттестации, результатов конкурса на замещение должности","О признании недействительным заключения служебной проверки, дисциплинарных взысканий, результатов аттестации, результатов конкурса на замещение должности",2181,954,43.0,1227,56.0,398,0,0.0,12484,13
2016,"О признании недействительным заключения служебной проверки, дисциплинарных взысканий, результатов аттестации, результатов конкурса на замещение должности","О признании недействительным заключения служебной проверки, дисциплинарных взысканий, результатов аттестации, результатов конкурса на замещение должности",1045,447,42.0,598,57.0,206,0,0.0,5343,12
2017,О признании недействительным решений государственных органов о прекращении допуска к государственной тайне,О признании недействительным решений государственных органов о прекращении допуска к государственной тайне,31,25,80.0,6,19.0,2,0,0.0,2688,108
2016,О признании недействительным решений государственных органов о прекращении допуска к государственной тайне,О признании недействительным решений государственных органов о прекращении допуска к государственной тайне,28,12,42.0,16,57.0,1,2,7.0,525,44
2017,"Иски об обязании изменить дату и формулировку причин увольнения, перевести на другую работу в связи с признанием приказа об увольнении недействительным","Иски об обязании изменить дату и формулировку причин увольнения, перевести на другую работу в связи с признанием приказа об увольнении недействительным",980,489,49.0,491,50.0,435,0,0.0,29245,60
2016,"Иски об обязании изменить дату и формулировку причин увольнения, перевести на другую работу в связи с признанием приказа об увольнении недействительным","Иски об обязании изменить дату и формулировку причин увольнения, перевести на другую работу в связи с признанием приказа об увольнении недействительным",1027,391,38.0,636,61.0,168,110,10.0,1533189,3921
2017,"Дела о взыскании невыплаченной заработной платы, других выплат","Дела о взыскании невыплаченной заработной платы, других выплат",462109,449436,97.0,12673,2.0,8374,398190,86.0,15936614,35
2016,"Дела о взыскании невыплаченной заработной платы, других выплат","Дела о взыскании невыплаченной заработной платы, других выплат",469490,457451,97.0,12039,2.0,20325,376119,80.0,19160714,42
2017,Дела о взыскании заработной платы в случае введения процедур банкротства,Дела о взыскании заработной платы в случае введения процедур банкротства,6524,6393,98.0,131,2.0,50,4317,66.0,517582,81
2016,Дела о взыскании заработной платы в случае введения процедур банкротства,Дела о взыскании заработной платы в случае введения процедур банкротства,5369,5232,97.0,137,2.0,115,2991,55.0,376078,72
2017,"Дела о взыскании невыплаченной заработной платы лиц, находящихся на государственной (муниципальной) службе","Дела о взыскании невыплаченной заработной платы лиц, находящихся на государственной (муниципальной) службе",6794,6692,98.0,102,1.0,21,6519,96.0,121823,18
2016,"Дела о взыскании невыплаченной заработной платы лиц, находящихся на государственной (муниципальной) службе","Дела о взыскании невыплаченной заработной платы лиц, находящихся на государственной (муниципальной) службе",2751,2562,93.0,189,6.0,49,2251,81.0,76144,30
2017,Иные дела об оплате труда,Иные дела об оплате труда,25160,22364,88.0,2796,11.0,1236,16821,66.0,701948,31
2016,Иные дела об оплате труда,Иные дела об оплате труда,23611,20832,88.0,2779,11.0,1709,11669,49.0,898998,43
2016,Дела о признании забастовок незаконными и возмещении причиненного ими ущерба,Дела о признании забастовок незаконными и возмещении причиненного ими ущерба,47,34,72.0,13,27.0,7,8,17.0,1748,51
2017,Дела о признании забастовок незаконными и возмещении причиненного ими ущерба,Дела о признании забастовок незаконными и возмещении причиненного ими ущерба,37,25,67.0,12,32.0,4,0,0.0,2493,100
2016,"Иски работников о возмещении ущерба, причиненного при исполнении трудовых обязанностей","Иски работников о возмещении ущерба, причиненного при исполнении трудовых обязанностей",1541,1252,81.0,289,18.0,162,28,1.0,251643,201
2017,"Иски работников о возмещении ущерба, причиненного при исполнении трудовых обязанностей","Иски работников о возмещении ущерба, причиненного при исполнении трудовых обязанностей",1764,1393,79.0,371,21.0,190,278,15.0,152828,110
2016,"Иски работодателей о возмещении ущерба, причиненного при исполнении трудовых обязанностей","Иски работодателей о возмещении ущерба, причиненного при исполнении трудовых обязанностей",7534,5907,78.0,1627,21.0,780,2,0.0,1213642,205
2017,"Иски работодателей о возмещении ущерба, причиненного при исполнении трудовых обязанностей","Иски работодателей о возмещении ущерба, причиненного при исполнении трудовых обязанностей",7183,5456,76.0,1727,24.0,795,9,0.0,872261,160
