Год,Метка_норм,Показатель,Рассмотрено дел,Подвергнуто наказанию,Доля наказанных,Оправдано,Доля оправданных,Наказание штрафом,Размер штрафов (тыс. руб.),Административный арест,Лишение права/дисквалификация,Выдворение,Приостановление деятельности,Конфискация,Средняя сумма штрафа (тыс. руб.)
2016,"Нарушение права гражданина на ознакомление со списком избирателей, участников референдума (5.1 КоАП)","Нарушение права гражданина на ознакомление со списком избирателей, участников референдума (5.1 КоАП)",20,10,50.0,5,0.0,10,26,0,0,0,0,0,3
2017,"Нарушение права гражданина на ознакомление со списком избирателей, участников референдума (5.1 КоАП)","Нарушение права гражданина на ознакомление со списком избирателей, участников референдума (5.1 КоАП)",12,3,25.0,2,0.0,3,3,0,0,0,0,0,1
2016,"Нарушение порядка участия средств массовой информации в информационном обеспечении выборов, референдумов (5.5 КоАП)","Нарушение порядка участия средств массовой информации в информационном обеспечении выборов, референдумов (5.5 КоАП)",247,188,76.0,22,0.0,183,844,0,0,0,0,0,4
2017,"Нарушение порядка участия средств массовой информации в информационном обеспечении выборов, референдумов (5.5 КоАП)","Нарушение порядка участия средств массовой информации в информационном обеспечении выборов, референдумов (5.5 КоАП)",158,110,69.0,17,0.0,101,460,0,0,0,0,0,4
2016,Нарушение в ходе избирательной кампании условий рекламы предпринимательской и иной деятельности (5.9 КоАП),Нарушение в ходе избирательной кампании условий рекламы предпринимательской и иной деятельности (5.9 КоАП),24,15,62.0,1,0.0,15,94,0,0,0,0,0,6
2017,Нарушение в ходе избирательной кампании условий рекламы предпринимательской и иной деятельности (5.9 КоАП),Нарушение в ходе избирательной кампании условий рекламы предпринимательской и иной деятельности (5.9 КоАП),16,10,62.0,1,0.0,6,31,0,0,0,0,0,3
2016,"Проведение предвыборной агитации, агитации по вопросам референдума лицами, которым участие в ее проведении запрещено федеральным законом (5.11 КоАП)","Проведение предвыборной агитации, агитации по вопросам референдума лицами, которым участие в ее проведении запрещено федеральным законом (5.11 КоАП)",208,144,69.0,15,0.0,144,185,0,0,0,0,0,1
2017,"Проведение предвыборной агитации, агитации по вопросам референдума лицами, которым участие в ее проведении запрещено федеральным законом (5.11 КоАП)","Проведение предвыборной агитации, агитации по вопросам референдума лицами, которым участие в ее проведении запрещено федеральным законом (5.11 КоАП)",49,30,61.0,6,0.0,30,34,0,0,0,0,0,1
2016,"Подкуп избирателей, участников референдума либо осуществление в период избирательной кампании благотворительной деятельности с нарушением законодательства о выборах и референдумах (5.16 КоАП)","Подкуп избирателей, участников референдума либо осуществление в период избирательной кампании благотворительной деятельности с нарушением законодательства о выборах и референдумах (5.16 КоАП)",77,48,62.0,10,0.0,48,891,0,0,0,0,0,19
2017,"Подкуп избирателей, участников референдума либо осуществление в период избирательной кампании благотворительной деятельности с нарушением законодательства о выборах и референдумах (5.16 КоАП)","Подкуп избирателей, участников референдума либо осуществление в период избирательной кампании благотворительной деятельности с нарушением законодательства о выборах и референдумах (5.16 КоАП)",48,25,52.0,9,0.0,25,421,0,0,0,0,0,17
2016,Незаконное использование денежных средств при финансировании избирательной кампании кандидата (5.18-5.20 КоАП),Незаконное использование денежных средств при финансировании избирательной кампании кандидата (5.18-5.20 КоАП),15,6,40.0,5,0.0,6,260,0,0,0,0,2,43
2017,Незаконное использование денежных средств при финансировании избирательной кампании кандидата (5.18-5.20 КоАП),Незаконное использование денежных средств при финансировании избирательной кампании кандидата (5.18-5.20 КоАП),10,7,70.0,2,0.0,7,35,0,0,0,0,0,5
2016,"Несвоевременное перечисление средств избирательным комиссиям, комиссиям референдума, кандидатам, избирательным объединениям, инициативным группам по проведению референдума, иным группам участников референдума (5.21 КоАП)","Несвоевременное перечисление средств избирательным комиссиям, комиссиям референдума, кандидатам, избирательным объединениям, инициативным группам по проведению референдума, иным группам участников референдума (5.21 КоАП)",97,75,77.0,14,0.0,75,2250,0,0,0,0,0,30
2017,"Несвоевременное перечисление средств избирательным комиссиям, комиссиям референдума, кандидатам, избирательным объединениям, инициативным группам по проведению референдума, иным группам участников референдума (5.21 КоАП)","Несвоевременное перечисление средств избирательным комиссиям, комиссиям референдума, кандидатам, избирательным объединениям, инициативным группам по проведению референдума, иным группам участников референдума (5.21 КоАП)",63,47,74.0,12,0.0,44,1335,0,0,0,0,0,28
2016,"Иные правонарушения, связанные с избирательными правами (5.3, 5.4, 5.6-5.8, 5.10, 5.12-5.15, 5.17, 5.22-5.25, 5.48-5.51, 5.56, 5.58, 5.69 КоАП)","Иные правонарушения, связанные с избирательными правами (5.3, 5.4, 5.6-5.8, 5.10, 5.12-5.15, 5.17, 5.22-5.25, 5.48-5.51, 5.56, 5.58, 5.69 КоАП)",2142,1400,65.0,170,0.0,1392,4507,0,0,0,0,0,3
