Год,Метка_норм,Показатель,Кол-во ходатайств,Удовлетворено,Отклонено,Доля удовлетворенных,Доля отклоненных
2017,Дела повторно поступившие после отмены судебного постановления в связи с правовой позицией Европейского Суда по правам человека,Дела повторно поступившие после отмены судебного постановления в связи с правовой позицией Европейского Суда по правам человека,0,2,0,0.0,0.0
2017,Дела повторно поступившие после отмены судебного постановления в связи с правовой позицией Конституционного Суда РФ,Дела повторно поступившие после отмены судебного постановления в связи с правовой позицией Конституционного Суда РФ,0,0,0,0.0,0.0
2017,Дела повторно поступившие после отмены судебного постановления в связи с постановлением Президиума Верховного Суда РФ,Дела повторно поступившие после отмены судебного постановления в связи с постановлением Президиума Верховного Суда РФ,0,13,0,0.0,0.0
2017,Дела повторно поступившие после отмены судебного постановления Пленума Верховного Суда РФ,Дела повторно поступившие после отмены судебного постановления Пленума Верховного Суда РФ,0,10,0,0.0,0.0
2017,Рассмотрение дела в закрытом заседании,Рассмотрение дела в закрытом заседании,0,13191,0,10.0,0.0
2016,О приведении приговора в соответствие с новым уголовным законом,О приведении приговора в соответствие с новым уголовным законом,189585,78988,49483,41.0,26.0
2017,О приведении приговора в соответствие с новым уголовным законом,О приведении приговора в соответствие с новым уголовным законом,131899,43423,41253,32.0,31.0
2016,О применении акта амнистии,О применении акта амнистии,4692,766,541,16.0,11.0
2017,О применении акта амнистии,О применении акта амнистии,1959,156,293,8.0,15.0
2016,"Об условно-досрочном освобождении от лишения свободы, содержания в дисциплинарной воинской части","Об условно-досрочном освобождении от лишения свободы, содержания в дисциплинарной воинской части",122552,55217,52580,45.0,42.0
2017,"Об условно-досрочном освобождении от лишения свободы, содержания в дисциплинарной воинской части","Об условно-досрочном освобождении от лишения свободы, содержания в дисциплинарной воинской части",112581,53804,44424,47.0,39.0
2016,"Об отмене условно-досрочного освобождения от лишения свободы, содержания в дисциплинарной воинской части","Об отмене условно-досрочного освобождения от лишения свободы, содержания в дисциплинарной воинской части",872,388,318,44.0,36.0
