Год,Метка_норм,Показатель,Осуждено
2016,Контингент осужденных – женщины,Контингент осужденных – женщины,105990
2017,Контингент осужденных – женщины,Контингент осужденных – женщины,100827
2016,Контингент осужденных – нетрудоспособные,Контингент осужденных – нетрудоспособные,20909
2017,Контингент осужденных – нетрудоспособные,Контингент осужденных – нетрудоспособные,21305
2016,Контингент осужденных – безработные,Контингент осужденных – безработные,16852
2017,Контингент осужденных – безработные,Контингент осужденных – безработные,14559
2016,"Контингент осужденных – иные трудоспособные, неработавшие и неучившиеся (без постоянного источника доходов)","Контингент осужденных – иные трудоспособные, неработавшие и неучившиеся (без постоянного источника доходов)",460347
2017,"Контингент осужденных – иные трудоспособные, неработавшие и неучившиеся (без постоянного источника доходов)","Контингент осужденных – иные трудоспособные, неработавшие и неучившиеся (без постоянного источника доходов)",430760
2016,Контингент осужденных – иностранцы и лица без гражданства,Контингент осужденных – иностранцы и лица без гражданства,25085
2017,Контингент осужденных – иностранцы и лица без гражданства,Контингент осужденных – иностранцы и лица без гражданства,23254
2016,Контингент осужденных – военнослужащие,Контингент осужденных – военнослужащие,4928
2017,Контингент осужденных – военнослужащие,Контингент осужденных – военнослужащие,4562
2018,Контингент осужденных – женщины,Контингент осужденных – женщины,95369
2020,Контингент осужденных – женщины,Контингент осужденных – женщины,77776
2022,Контингент осужденных – женщины,Контингент осужденных – женщины,89787
2021,Контингент осужденных – женщины,Контингент осужденных – женщины,86238
2023,Контингент осужденных – женщины,Контингент осужденных – женщины,90474
2019,Контингент осужденных – женщины,Контингент осужденных – женщины,87437
2024,Контингент осужденных – женщины,Контингент осужденных – женщины,90754
2018,Контингент осужденных – нетрудоспособные,Контингент осужденных – нетрудоспособные,22193
2020,Контингент осужденных – нетрудоспособные,Контингент осужденных – нетрудоспособные,18033
2022,Контингент осужденных – нетрудоспособные,Контингент осужденных – нетрудоспособные,20967
2021,Контингент осужденных – нетрудоспособные,Контингент осужденных – нетрудоспособные,19422
2023,Контингент осужденных – нетрудоспособные,Контингент осужденных – нетрудоспособные,20622
2019,Контингент осужденных – нетрудоспособные,Контингент осужденных – нетрудоспособные,20155
2024,Контингент осужденных – нетрудоспособные,Контингент осужденных – нетрудоспособные,20099
2018,Контингент осужденных – безработные,Контингент осужденных – безработные,12536
2020,Контингент осужденных – безработные,Контингент осужденных – безработные,8637
2022,Контингент осужденных – безработные,Контингент осужденных – безработные,7022
2021,Контингент осужденных – безработные,Контингент осужденных – безработные,8198
2023,Контингент осужденных – безработные,Контингент осужденных – безработные,6150
2019,Контингент осужденных – безработные,Контингент осужденных – безработные,9418
2024,Контингент осужденных – безработные,Контингент осужденных – безработные,4785
2018,"Контингент осужденных – иные трудоспособные, неработавшие и неучившиеся (без постоянного источника доходов)","Контингент осужденных – иные трудоспособные, неработавшие и неучившиеся (без постоянного источника доходов)",394178
2020,"Контингент осужденных – иные трудоспособные, неработавшие и неучившиеся (без постоянного источника доходов)","Контингент осужденных – иные трудоспособные, неработавшие и неучившиеся (без постоянного источника доходов)",343538
2022,"Контингент осужденных – иные трудоспособные, неработавшие и неучившиеся (без постоянного источника доходов)","Контингент осужденных – иные трудоспособные, неработавшие и неучившиеся (без постоянного источника доходов)",363657
2021,"Контингент осужденных – иные трудоспособные, неработавшие и неучившиеся (без постоянного источника доходов)","Контингент осужденных – иные трудоспособные, неработавшие и неучившиеся (без постоянного источника доходов)",361276
2023,"Контингент осужденных – иные трудоспособные, неработавшие и неучившиеся (без постоянного источника доходов)","Контингент осужденных – иные трудоспособные, неработавшие и неучившиеся (без постоянного источника доходов)",338185
2019,"Контингент осужденных – иные трудоспособные, неработавшие и неучившиеся (без постоянного источника доходов)","Контингент осужденных – иные трудоспособные, неработавшие и неучившиеся (без постоянного источника доходов)",374986
2024,"Контингент осужденных – иные трудоспособные, неработавшие и неучившиеся (без постоянного источника доходов)","Контингент осужденных – иные трудоспособные, неработавшие и неучившиеся (без постоянного источника доходов)",288957
2018,Контингент осужденных – иностранцы и лица без гражданства,Контингент осужденных – иностранцы и лица без гражданства,20983
2020,Контингент осужденных – иностранцы и лица без гражданства,Контингент осужденных – иностранцы и лица без гражданства,16123
2022,Контингент осужденных – иностранцы и лица без гражданства,Контингент осужденных – иностранцы и лица без гражданства,22702
2021,Контингент осужденных – иностранцы и лица без гражданства,Контингент осужденных – иностранцы и лица без гражданства,19349
2023,Контингент осужденных – иностранцы и лица без гражданства,Контингент осужденных – иностранцы и лица без гражданства,22504
2019,Контингент осужденных – иностранцы и лица без гражданства,Контингент осужденных – иностранцы и лица без гражданства,18620
2024,Контингент осужденных – иностранцы и лица без гражданства,Контингент осужденных – иностранцы и лица без гражданства,22131
2024,Контингент осужденных – военнослужащие,Контингент осужденных – военнослужащие,14377
2018,Контингент осужденных – военнослужащие,Контингент осужденных – военнослужащие,3925
2020,Контингент осужденных – военнослужащие,Контингент осужденных – военнослужащие,3351
2022,Контингент осужденных – военнослужащие,Контингент осужденных – военнослужащие,4210
2021,Контингент осужденных – военнослужащие,Контингент осужденных – военнослужащие,4095
2023,Контингент осужденных – военнослужащие,Контингент осужденных – военнослужащие,8525
2019,Контингент осужденных – военнослужащие,Контингент осужденных – военнослужащие,3951
