Год,Метка_норм,Показатель,Кол-во ходатайств,Удовлетворено,Доля удовлетворенных
2016,Применение меры пресечения в виде заключения под стражу в период нахождения дела в судебном производстве,Применение меры пресечения в виде заключения под стражу в период нахождения дела в судебном производстве,0,13410,1.0
2017,Применение меры пресечения в виде заключения под стражу в период нахождения дела в судебном производстве,Применение меры пресечения в виде заключения под стражу в период нахождения дела в судебном производстве,0,14076,1.0
2016,Освобождено из-под стражи в период нахождения в судебном производстве,Освобождено из-под стражи в период нахождения в судебном производстве,0,1747,0.0
2017,Освобождено из-под стражи в период нахождения в судебном производстве,Освобождено из-под стражи в период нахождения в судебном производстве,0,1939,0.0
2016,Освобождено осужденных из-под стражи по приговору суда,Освобождено осужденных из-под стражи по приговору суда,0,15166,1.0
2017,Освобождено осужденных из-под стражи по приговору суда,Освобождено осужденных из-под стражи по приговору суда,0,12987,1.0
2016,Применен залог (заменена др.мер пресечения) в период нахождения дела в судебном производстве,Применен залог (заменена др.мер пресечения) в период нахождения дела в судебном производстве,0,36,0.0
2017,Применен залог (заменена др.мер пресечения) в период нахождения дела в судебном производстве,Применен залог (заменена др.мер пресечения) в период нахождения дела в судебном производстве,0,26,0.0
2016,Применен домашний арест (заменена др.мер пресечения) в период нахождения дела в судебном производстве,Применен домашний арест (заменена др.мер пресечения) в период нахождения дела в судебном производстве,0,720,0.0
2017,Применен домашний арест (заменена др.мер пресечения) в период нахождения дела в судебном производстве,Применен домашний арест (заменена др.мер пресечения) в период нахождения дела в судебном производстве,0,932,0.0
2016,Заключено под стражу обвиняемых в особо тяжких преступлениях,Заключено под стражу обвиняемых в особо тяжких преступлениях,31424,30101,95.0
2017,Заключено под стражу обвиняемых в особо тяжких преступлениях,Заключено под стражу обвиняемых в особо тяжких преступлениях,31211,29686,95.0
2016,Заключено под стражу обвиняемых в тяжких преступлениях,Заключено под стражу обвиняемых в тяжких преступлениях,63311,57365,90.0
2017,Заключено под стражу обвиняемых в тяжких преступлениях,Заключено под стражу обвиняемых в тяжких преступлениях,57078,51312,89.0
2016,Заключено под стражу обвиняемых в преступлениях средней тяжести,Заключено под стражу обвиняемых в преступлениях средней тяжести,33126,29230,88.0
2017,Заключено под стражу обвиняемых в преступлениях средней тяжести,Заключено под стражу обвиняемых в преступлениях средней тяжести,31347,27581,88.0
2016,Заключено под стражу обвиняемых в преступлениях небольшой тяжести,Заключено под стражу обвиняемых в преступлениях небольшой тяжести,6021,5100,84.0
2017,Заключено под стражу обвиняемых в преступлениях небольшой тяжести,Заключено под стражу обвиняемых в преступлениях небольшой тяжести,5484,4681,85.0
2016,Заключено под стражу обвиняемых в преступлениях в связи с предпринимательской деятельностью (ст. 159-159.6 ),Заключено под стражу обвиняемых в преступлениях в связи с предпринимательской деятельностью (ст. 159-159.6 УК РФ),29729,26900,90.0
2017,Заключено под стражу обвиняемых в преступлениях в связи с предпринимательской деятельностью (ст. 159-159.6 ),Заключено под стражу обвиняемых в преступлениях в связи с предпринимательской деятельностью (ст. 159-159.6 УК РФ),27310,24748,90.0
2016,Заключено под стражу обвиняемых в преступлениях в сфере экономической деятельности (гл. 22 ),Заключено под стражу обвиняемых в преступлениях в сфере экономической деятельности (гл. 22 УК РФ),988,890,90.0
2017,Заключено под стражу обвиняемых в преступлениях в сфере экономической деятельности (гл. 22 ),Заключено под стражу обвиняемых в преступлениях в сфере экономической деятельности (гл. 22 УК РФ),674,565,83.0
2023,Взято под стражу судом по приговору с реальным лишением свободы,Взято под стражу судом по приговору с реальным лишением свободы,0,70542,0.0
2024,Взято под стражу судом по приговору с реальным лишением свободы,Взято под стражу судом по приговору с реальным лишением свободы,0,61995,0.0
2022,Взято под стражу судом по приговору с реальным лишением свободы,Взято под стражу судом по приговору с реальным лишением свободы,0,76079,0.0
2021,Применение меры пресечения в виде заключения под стражу в период нахождения дела в судебном производстве,Применение меры пресечения в виде заключения под стражу в период нахождения дела в судебном производстве,0,17537,0.0
2023,Применение меры пресечения в виде заключения под стражу в период нахождения дела в судебном производстве,Применение меры пресечения в виде заключения под стражу в период нахождения дела в судебном производстве,0,19211,0.0
2019,Применение меры пресечения в виде заключения под стражу в период нахождения дела в судебном производстве,Применение меры пресечения в виде заключения под стражу в период нахождения дела в судебном производстве,0,14573,1.0
2024,Применение меры пресечения в виде заключения под стражу в период нахождения дела в судебном производстве,Применение меры пресечения в виде заключения под стражу в период нахождения дела в судебном производстве,0,17462,0.0
2018,Применение меры пресечения в виде заключения под стражу в период нахождения дела в судебном производстве,Применение меры пресечения в виде заключения под стражу в период нахождения дела в судебном производстве,0,13965,1.6
2020,Применение меры пресечения в виде заключения под стражу в период нахождения дела в судебном производстве,Применение меры пресечения в виде заключения под стражу в период нахождения дела в судебном производстве,0,14866,1.0
2022,Применение меры пресечения в виде заключения под стражу в период нахождения дела в судебном производстве,Применение меры пресечения в виде заключения под стражу в период нахождения дела в судебном производстве,0,18453,0.0
2021,Освобождено из-под стражи в период нахождения в судебном производстве,Освобождено из-под стражи в период нахождения в судебном производстве,0,4322,0.0
2023,Освобождено из-под стражи в период нахождения в судебном производстве,Освобождено из-под стражи в период нахождения в судебном производстве,0,3745,0.0
2019,Освобождено из-под стражи в период нахождения в судебном производстве,Освобождено из-под стражи в период нахождения в судебном производстве,0,2162,0.0
2024,Освобождено из-под стражи в период нахождения в судебном производстве,Освобождено из-под стражи в период нахождения в судебном производстве,0,4038,0.0
2018,Освобождено из-под стражи в период нахождения в судебном производстве,Освобождено из-под стражи в период нахождения в судебном производстве,0,1744,0.2
2020,Освобождено из-под стражи в период нахождения в судебном производстве,Освобождено из-под стражи в период нахождения в судебном производстве,0,2841,0.0
2022,Освобождено из-под стражи в период нахождения в судебном производстве,Освобождено из-под стражи в период нахождения в судебном производстве,0,4233,0.0
2021,Освобождено осужденных из-под стражи по приговору суда,Освобождено осужденных из-под стражи по приговору суда,0,12298,0.0
2023,Освобождено осужденных из-под стражи по приговору суда,Освобождено осужденных из-под стражи по приговору суда,0,13925,0.0
2019,Освобождено осужденных из-под стражи по приговору суда,Освобождено осужденных из-под стражи по приговору суда,0,11628,1.0
2024,Освобождено осужденных из-под стражи по приговору суда,Освобождено осужденных из-под стражи по приговору суда,0,14265,0.0
2018,Освобождено осужденных из-под стражи по приговору суда,Освобождено осужденных из-под стражи по приговору суда,0,11609,1.3
2020,Освобождено осужденных из-под стражи по приговору суда,Освобождено осужденных из-под стражи по приговору суда,0,10773,1.0
2022,Освобождено осужденных из-под стражи по приговору суда,Освобождено осужденных из-под стражи по приговору суда,0,13058,0.0
