Год,Метка_норм,Показатель,Рассмотрено дел,Кол-во лиц по делам,Осуждено,Доля осужденных,Оправдано,Доля оправданных,Прекращено по реабил. основаниям,В особом порядке,Доля осужденных в особом порядке
2017,Убийство без смягчающих обстоятельств (ст. 105 ),Убийство без смягчающих обстоятельств (ст. 105 УК РФ),9931,9501,8444,88.0,70,0.0,4,0,0.0
2016,Убийство без смягчающих обстоятельств (ст. 105 ),Убийство без смягчающих обстоятельств (ст. 105 УК РФ),10600,10275,9176,89.0,73,0.0,3,0,0.0
2017,Иные посягательства на жизнь человека (ст. 106-110 ),Иные посягательства на жизнь человека (ст. 106-110 УК РФ),1709,2006,1489,74.0,21,1.0,7,792,53.0
2016,Иные посягательства на жизнь человека (ст. 106-110 ),Иные посягательства на жизнь человека (ст. 106-110 УК РФ),1868,2186,1714,78.0,24,1.0,4,987,57.0
2017,"Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 )","Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 УК РФ)",43579,44103,33798,76.0,47,0.0,14,17379,51.0
2016,"Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 )","Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 УК РФ)",46966,47741,37468,78.0,53,0.0,14,19585,52.0
2017,"Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 )","Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 УК РФ)",5791,6106,3540,58.0,11,0.0,4,2169,61.0
2016,"Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 )","Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 УК РФ)",6860,7151,4461,62.0,8,0.0,3,2856,64.0
2017,Изнасилование (ст. 131 ),Изнасилование (ст. 131 УК РФ),2316,2611,2446,93.0,11,0.0,1,466,19.0
2016,Изнасилование (ст. 131 ),Изнасилование (ст. 131 УК РФ),2569,2874,2700,93.0,14,0.0,0,584,21.0
2017,Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 ),Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 УК РФ),6482,6680,5361,80.0,27,0.0,4,2390,44.0
2016,Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 ),Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 УК РФ),6084,6365,5286,83.0,16,0.0,1,2323,43.0
2017,Кража (ст. 158 ),Кража (ст. 158 УК РФ),221838,255440,181022,70.0,55,0.0,92,135626,74.0
2016,Кража (ст. 158 ),Кража (ст. 158 УК РФ),252480,288000,204212,70.0,86,0.0,1640,155016,75.0
