Год,Метка_норм,Показатель,Осуждено
2016,Освобождено осужденных от наказания по амнистии,Освобождено осужденных от наказания по амнистии,11015
2017,Освобождено осужденных от наказания по амнистии,Освобождено осужденных от наказания по амнистии,2483
2016,Освобождено осужденных от наказания с направлением в специальные учебно-воспитательные учреждения закрытого типа,Освобождено осужденных от наказания с направлением в специальные учебно-воспитательные учреждения закрытого типа,402
2017,Освобождено осужденных от наказания с направлением в специальные учебно-воспитательные учреждения закрытого типа,Освобождено осужденных от наказания с направлением в специальные учебно-воспитательные учреждения закрытого типа,384
2016,Освобождено осужденных от наказания с применением других принудительных мер воспитательного воздействия,Освобождено осужденных от наказания с применением других принудительных мер воспитательного воздействия,626
2017,Освобождено осужденных от наказания с применением других принудительных мер воспитательного воздействия,Освобождено осужденных от наказания с применением других принудительных мер воспитательного воздействия,449
2016,"Освобождено осужденных от наказания по другим основаниям, а также без назначения наказания","Освобождено осужденных от наказания по другим основаниям, а также без назначения наказания",5854
2017,"Освобождено осужденных от наказания по другим основаниям, а также без назначения наказания","Освобождено осужденных от наказания по другим основаниям, а также без назначения наказания",5666
2018,Освобождено осужденных от наказания по амнистии,Освобождено осужденных от наказания по амнистии,947
2020,Освобождено осужденных от наказания по амнистии,Освобождено осужденных от наказания по амнистии,156
2022,Освобождено осужденных от наказания по амнистии,Освобождено осужденных от наказания по амнистии,49
2021,Освобождено осужденных от наказания по амнистии,Освобождено осужденных от наказания по амнистии,79
2023,Освобождено осужденных от наказания по амнистии,Освобождено осужденных от наказания по амнистии,27
2019,Освобождено осужденных от наказания по амнистии,Освобождено осужденных от наказания по амнистии,423
2024,Освобождено осужденных от наказания по амнистии,Освобождено осужденных от наказания по амнистии,21
2018,Освобождено осужденных от наказания с направлением в специальные учебно-воспитательные учреждения закрытого типа,Освобождено осужденных от наказания с направлением в специальные учебно-воспитательные учреждения закрытого типа,303
2020,Освобождено осужденных от наказания с направлением в специальные учебно-воспитательные учреждения закрытого типа,Освобождено осужденных от наказания с направлением в специальные учебно-воспитательные учреждения закрытого типа,240
2022,Освобождено осужденных от наказания с направлением в специальные учебно-воспитательные учреждения закрытого типа,Освобождено осужденных от наказания с направлением в специальные учебно-воспитательные учреждения закрытого типа,191
2021,Освобождено осужденных от наказания с направлением в специальные учебно-воспитательные учреждения закрытого типа,Освобождено осужденных от наказания с направлением в специальные учебно-воспитательные учреждения закрытого типа,210
2023,Освобождено осужденных от наказания с направлением в специальные учебно-воспитательные учреждения закрытого типа,Освобождено осужденных от наказания с направлением в специальные учебно-воспитательные учреждения закрытого типа,170
2019,Освобождено осужденных от наказания с направлением в специальные учебно-воспитательные учреждения закрытого типа,Освобождено осужденных от наказания с направлением в специальные учебно-воспитательные учреждения закрытого типа,296
2024,Освобождено осужденных от наказания с направлением в специальные учебно-воспитательные учреждения закрытого типа,Освобождено осужденных от наказания с направлением в специальные учебно-воспитательные учреждения закрытого типа,207
2018,Освобождено осужденных от наказания с применением других принудительных мер воспитательного воздействия,Освобождено осужденных от наказания с применением других принудительных мер воспитательного воздействия,429
2020,Освобождено осужденных от наказания с применением других принудительных мер воспитательного воздействия,Освобождено осужденных от наказания с применением других принудительных мер воспитательного воздействия,581
2022,Освобождено осужденных от наказания с применением других принудительных мер воспитательного воздействия,Освобождено осужденных от наказания с применением других принудительных мер воспитательного воздействия,574
2021,Освобождено осужденных от наказания с применением других принудительных мер воспитательного воздействия,Освобождено осужденных от наказания с применением других принудительных мер воспитательного воздействия,577
2023,Освобождено осужденных от наказания с применением других принудительных мер воспитательного воздействия,Освобождено осужденных от наказания с применением других принудительных мер воспитательного воздействия,502
2019,Освобождено осужденных от наказания с применением других принудительных мер воспитательного воздействия,Освобождено осужденных от наказания с применением других принудительных мер воспитательного воздействия,482
2024,Освобождено осужденных от наказания с применением других принудительных мер воспитательного воздействия,Освобождено осужденных от наказания с применением других принудительных мер воспитательного воздействия,491
2018,"Освобождено осужденных от наказания по другим основаниям, а также без назначения наказания","Освобождено осужденных от наказания по другим основаниям, а также без назначения наказания",6077
2020,"Освобождено осужденных от наказания по другим основаниям, а также без назначения наказания","Освобождено осужденных от наказания по другим основаниям, а также без назначения наказания",7005
2022,"Освобождено осужденных от наказания по другим основаниям, а также без назначения наказания","Освобождено осужденных от наказания по другим основаниям, а также без назначения наказания",13447
2021,"Освобождено осужденных от наказания по другим основаниям, а также без назначения наказания","Освобождено осужденных от наказания по другим основаниям, а также без назначения наказания",10699
2023,"Освобождено осужденных от наказания по другим основаниям, а также без назначения наказания","Освобождено осужденных от наказания по другим основаниям, а также без назначения наказания",16374
2019,"Освобождено осужденных от наказания по другим основаниям, а также без назначения наказания","Освобождено осужденных от наказания по другим основаниям, а также без назначения наказания",6942
2024,"Освобождено осужденных от наказания по другим основаниям, а также без назначения наказания","Освобождено осужденных от наказания по другим основаниям, а также без назначения наказания",15987
