Год,Метка_норм,Показатель,Осуждено
2016,Дело прекращено в связи с отменой или изменение закона,Дело прекращено в связи с отменой или изменение закона,18309
2017,Дело прекращено в связи с отменой или изменение закона,Дело прекращено в связи с отменой или изменение закона,6949
2016,Дело прекращено в связи с применение амнистии,Дело прекращено в связи с применение амнистии,4549
2017,Дело прекращено в связи с применение амнистии,Дело прекращено в связи с применение амнистии,889
2016,Дело прекращено в связи с деятельным раскаянием,Дело прекращено в связи с деятельным раскаянием,14541
2017,Дело прекращено в связи с деятельным раскаянием,Дело прекращено в связи с деятельным раскаянием,15000
2016,Дело прекращено в связи с примирение с потерпевшим,Дело прекращено в связи с примирение с потерпевшим,160765
2017,Дело прекращено в связи с примирение с потерпевшим,Дело прекращено в связи с примирение с потерпевшим,138177
2016,Дело прекращено в связи за отсутствие жалобы (согласия) потерпевшего,Дело прекращено в связи за отсутствие жалобы (согласия) потерпевшего,3022
2017,Дело прекращено в связи за отсутствие жалобы (согласия) потерпевшего,Дело прекращено в связи за отсутствие жалобы (согласия) потерпевшего,819
2016,Дело прекращено в связи с принудительные меры воспитательного воздействия,Дело прекращено в связи с принудительные меры воспитательного воздействия,2655
2017,Дело прекращено в связи с принудительные меры воспитательного воздействия,Дело прекращено в связи с принудительные меры воспитательного воздействия,2270
2016,Дело прекращено по иные основания,Дело прекращено по иные основания,15028
2017,Дело прекращено по иные основания,Дело прекращено по иные основания,29262
2017,Назначен судебный штраф при освобождении от уголовной ответственности,Назначен судебный штраф при освобождении от уголовной ответственности,18337
2017,Сумма назначенного судом судебного штрафа (в руб.) по прекращенным уголовным делам,Сумма назначенного судом судебного штрафа (в руб.) по прекращенным уголовным делам,284143821
2021,Дело прекращено в связи с отменой или изменение закона,Дело прекращено в связи с отменой или изменение закона,58
2023,Дело прекращено в связи с отменой или изменение закона,Дело прекращено в связи с отменой или изменение закона,69
2019,Дело прекращено в связи с отменой или изменение закона,Дело прекращено в связи с отменой или изменение закона,121
2024,Дело прекращено в связи с отменой или изменение закона,Дело прекращено в связи с отменой или изменение закона,149
2018,Дело прекращено в связи с отменой или изменение закона,Дело прекращено в связи с отменой или изменение закона,174
2020,Дело прекращено в связи с отменой или изменение закона,Дело прекращено в связи с отменой или изменение закона,106
2022,Дело прекращено в связи с отменой или изменение закона,Дело прекращено в связи с отменой или изменение закона,135
2021,Дело прекращено в связи с применение амнистии,Дело прекращено в связи с применение амнистии,27
2023,Дело прекращено в связи с применение амнистии,Дело прекращено в связи с применение амнистии,17
2019,Дело прекращено в связи с применение амнистии,Дело прекращено в связи с применение амнистии,141
2024,Дело прекращено в связи с применение амнистии,Дело прекращено в связи с применение амнистии,11
2018,Дело прекращено в связи с применение амнистии,Дело прекращено в связи с применение амнистии,257
2020,Дело прекращено в связи с применение амнистии,Дело прекращено в связи с применение амнистии,35
2022,Дело прекращено в связи с применение амнистии,Дело прекращено в связи с применение амнистии,30
2021,Дело прекращено в связи с деятельным раскаянием,Дело прекращено в связи с деятельным раскаянием,11606
2023,Дело прекращено в связи с деятельным раскаянием,Дело прекращено в связи с деятельным раскаянием,10610
2019,Дело прекращено в связи с деятельным раскаянием,Дело прекращено в связи с деятельным раскаянием,11882
