Год,Метка_норм,Показатель,Осуждено
2016,Основное наказание – смертная казнь,Основное наказание – смертная казнь,0
2017,Основное наказание – смертная казнь,Основное наказание – смертная казнь,0
2016,Основное наказание – пожизненное лишение свободы,Основное наказание – пожизненное лишение свободы,81
2017,Основное наказание – пожизненное лишение свободы,Основное наказание – пожизненное лишение свободы,75
2016,Основное наказание – лишение свободы на определенный срок,Основное наказание – лишение свободы на определенный срок,214900
2017,Основное наказание – лишение свободы на определенный срок,Основное наказание – лишение свободы на определенный срок,208226
2016,Основное наказание – ограничение свободы,Основное наказание – ограничение свободы,26558
2017,Основное наказание – ограничение свободы,Основное наказание – ограничение свободы,25798
2016,Основное наказание – принудительные работы,Основное наказание – принудительные работы,5
2017,Основное наказание – принудительные работы,Основное наказание – принудительные работы,588
2016,Основное наказание – обязательные работы,Основное наказание – обязательные работы,145369
2017,Основное наказание – обязательные работы,Основное наказание – обязательные работы,131489
2016,Основное наказание – исправительные работы,Основное наказание – исправительные работы,53890
2017,Основное наказание – исправительные работы,Основное наказание – исправительные работы,58078
2016,Основное наказание – лишение права занимать определенные должности или заниматься определенной деятельностью,Основное наказание – лишение права занимать определенные должности или заниматься определенной деятельностью,886
2017,Основное наказание – лишение права занимать определенные должности или заниматься определенной деятельностью,Основное наказание – лишение права занимать определенные должности или заниматься определенной деятельностью,1088
2016,Основное наказание – штраф,Основное наказание – штраф,105879
2017,Основное наказание – штраф,Основное наказание – штраф,96719
2016,Основное наказание – условное осуждение к лишению свободы,Основное наказание – условное осуждение к лишению свободы,188603
2017,Основное наказание – условное осуждение к лишению свободы,Основное наказание – условное осуждение к лишению свободы,180343
2016,Основное наказание – условное осуждение к иным мерам,Основное наказание – условное осуждение к иным мерам,13497
2017,Основное наказание – условное осуждение к иным мерам,Основное наказание – условное осуждение к иным мерам,12862
2016,Основное наказание – содержание в дисциплинароной воинской части,Основное наказание – содержание в дисциплинароной воинской части,113
2017,Основное наказание – содержание в дисциплинароной воинской части,Основное наказание – содержание в дисциплинароной воинской части,105
2016,Основное наказание – ограничение по военной службе,Основное наказание – ограничение по военной службе,280
2017,Основное наказание – ограничение по военной службе,Основное наказание – ограничение по военной службе,267
2016,Основное наказание – арест,Основное наказание – арест,2
2017,Основное наказание – арест,Основное наказание – арест,0
2016,Дополнительные виды наказаний – лишение права занимать определенные должности или заниматься определенной деятельностью*,Дополнительные виды наказаний – лишение права занимать определенные должности или заниматься определенной деятельностью*,71823
2017,Дополнительные виды наказаний – лишение права занимать определенные должности или заниматься определенной деятельностью*,Дополнительные виды наказаний – лишение права занимать определенные должности или заниматься определенной деятельностью*,76042
2016,"Дополнительные виды наказаний – лишение специального воинского или почетного звания, классного чина и государственных наград","Дополнительные виды наказаний – лишение специального воинского или почетного звания, классного чина и государственных наград",418
2017,"Дополнительные виды наказаний – лишение специального воинского или почетного звания, классного чина и государственных наград","Дополнительные виды наказаний – лишение специального воинского или почетного звания, классного чина и государственных наград",257
2016,Дополнительное наказание – штраф,Дополнительное наказание – штраф,16685
2017,Дополнительное наказание – штраф,Дополнительное наказание – штраф,30854
2016,Дополнительное наказание – ограничение свободы,Дополнительное наказание – ограничение свободы,9502
2017,Дополнительное наказание – ограничение свободы,Дополнительное наказание – ограничение свободы,9870
2016,Дополнительное наказание в виде конфискации имущества,Дополнительное наказание в виде конфискации имущества,2499
2017,Дополнительное наказание в виде конфискации имущества,Дополнительное наказание в виде конфискации имущества,2320
2021,Основное наказание – смертная казнь,Основное наказание – смертная казнь,0
2023,Основное наказание – смертная казнь,Основное наказание – смертная казнь,0
2019,Основное наказание – смертная казнь,Основное наказание – смертная казнь,0
2024,Основное наказание – смертная казнь,Основное наказание – смертная казнь,0
2018,Основное наказание – смертная казнь,Основное наказание – смертная казнь,0
2020,Основное наказание – смертная казнь,Основное наказание – смертная казнь,0
2022,Основное наказание – смертная казнь,Основное наказание – смертная казнь,0
2021,Основное наказание – пожизненное лишение свободы,Основное наказание – пожизненное лишение свободы,47
2023,Основное наказание – пожизненное лишение свободы,Основное наказание – пожизненное лишение свободы,78
2019,Основное наказание – пожизненное лишение свободы,Основное наказание – пожизненное лишение свободы,49
2024,Основное наказание – пожизненное лишение свободы,Основное наказание – пожизненное лишение свободы,79
2018,Основное наказание – пожизненное лишение свободы,Основное наказание – пожизненное лишение свободы,59
2020,Основное наказание – пожизненное лишение свободы,Основное наказание – пожизненное лишение свободы,66
2022,Основное наказание – пожизненное лишение свободы,Основное наказание – пожизненное лишение свободы,58
2022,Основное наказание – лишение свободы на определенный срок,Основное наказание – лишение свободы на определенный срок,182348
2021,Основное наказание – лишение свободы на определенный срок,Основное наказание – лишение свободы на определенный срок,174156
2023,Основное наказание – лишение свободы на определенный срок,Основное наказание – лишение свободы на определенный срок,170976
2019,Основное наказание – лишение свободы на определенный срок,Основное наказание – лишение свободы на определенный срок,181833
2024,Основное наказание – лишение свободы на определенный срок,Основное наказание – лишение свободы на определенный срок,153000
2018,Основное наказание – лишение свободы на определенный срок,Основное наказание – лишение свободы на определенный срок,197189
2020,Основное наказание – лишение свободы на определенный срок,Основное наказание – лишение свободы на определенный срок,161492
2022,Основное наказание – ограничение свободы,Основное наказание – ограничение свободы,23049
2021,Основное наказание – ограничение свободы,Основное наказание – ограничение свободы,21455
2023,Основное наказание – ограничение свободы,Основное наказание – ограничение свободы,25025
2019,Основное наказание – ограничение свободы,Основное наказание – ограничение свободы,21118
2024,Основное наказание – ограничение свободы,Основное наказание – ограничение свободы,24547
2018,Основное наказание – ограничение свободы,Основное наказание – ограничение свободы,23683
2020,Основное наказание – ограничение свободы,Основное наказание – ограничение свободы,21239
2022,Основное наказание – принудительные работы,Основное наказание – принудительные работы,3566
2021,Основное наказание – принудительные работы,Основное наказание – принудительные работы,1313
2023,Основное наказание – принудительные работы,Основное наказание – принудительные работы,17333
2019,Основное наказание – принудительные работы,Основное наказание – принудительные работы,1462
2024,Основное наказание – принудительные работы,Основное наказание – принудительные работы,21387
2018,Основное наказание – принудительные работы,Основное наказание – принудительные работы,1038
2020,Основное наказание – принудительные работы,Основное наказание – принудительные работы,992
2020,Основное наказание – обязательные работы,Основное наказание – обязательные работы,96185
2022,Основное наказание – обязательные работы,Основное наказание – обязательные работы,89593
2021,Основное наказание – обязательные работы,Основное наказание – обязательные работы,93402
2023,Основное наказание – обязательные работы,Основное наказание – обязательные работы,80688
2019,Основное наказание – обязательные работы,Основное наказание – обязательные работы,102566
2024,Основное наказание – обязательные работы,Основное наказание – обязательные работы,66801
2018,Основное наказание – обязательные работы,Основное наказание – обязательные работы,118077
2020,Основное наказание – исправительные работы,Основное наказание – исправительные работы,42789
2022,Основное наказание – исправительные работы,Основное наказание – исправительные работы,50521
2021,Основное наказание – исправительные работы,Основное наказание – исправительные работы,48111
2023,Основное наказание – исправительные работы,Основное наказание – исправительные работы,48197
2019,Основное наказание – исправительные работы,Основное наказание – исправительные работы,51712
2024,Основное наказание – исправительные работы,Основное наказание – исправительные работы,45924
2018,Основное наказание – исправительные работы,Основное наказание – исправительные работы,57321
2020,Основное наказание – лишение права занимать определенные должности или заниматься определенной деятельностью,Основное наказание – лишение права занимать определенные должности или заниматься определенной деятельностью,257
2022,Основное наказание – лишение права занимать определенные должности или заниматься определенной деятельностью,Основное наказание – лишение права занимать определенные должности или заниматься определенной деятельностью,249
2021,Основное наказание – лишение права занимать определенные должности или заниматься определенной деятельностью,Основное наказание – лишение права занимать определенные должности или заниматься определенной деятельностью,232
2023,Основное наказание – лишение права занимать определенные должности или заниматься определенной деятельностью,Основное наказание – лишение права занимать определенные должности или заниматься определенной деятельностью,146
2019,Основное наказание – лишение права занимать определенные должности или заниматься определенной деятельностью,Основное наказание – лишение права занимать определенные должности или заниматься определенной деятельностью,413
2024,Основное наказание – лишение права занимать определенные должности или заниматься определенной деятельностью,Основное наказание – лишение права занимать определенные должности или заниматься определенной деятельностью,142
2018,Основное наказание – лишение права занимать определенные должности или заниматься определенной деятельностью,Основное наказание – лишение права занимать определенные должности или заниматься определенной деятельностью,812
2020,Основное наказание – штраф,Основное наказание – штраф,66197
2022,Основное наказание – штраф,Основное наказание – штраф,77942
2021,Основное наказание – штраф,Основное наказание – штраф,72927
2023,Основное наказание – штраф,Основное наказание – штраф,82857
2019,Основное наказание – штраф,Основное наказание – штраф,78362
2024,Основное наказание – штраф,Основное наказание – штраф,83020
2018,Основное наказание – штраф,Основное наказание – штраф,90125
2018,Основное наказание – условное осуждение к лишению свободы,Основное наказание – условное осуждение к лишению свободы,172763
2020,Основное наказание – условное осуждение к лишению свободы,Основное наказание – условное осуждение к лишению свободы,154529
2022,Основное наказание – условное осуждение к лишению свободы,Основное наказание – условное осуждение к лишению свободы,160606
2021,Основное наказание – условное осуждение к лишению свободы,Основное наказание – условное осуждение к лишению свободы,165162
2023,Основное наказание – условное осуждение к лишению свободы,Основное наказание – условное осуждение к лишению свободы,137340
2019,Основное наказание – условное осуждение к лишению свободы,Основное наказание – условное осуждение к лишению свободы,161625
2024,Основное наказание – условное осуждение к лишению свободы,Основное наказание – условное осуждение к лишению свободы,116256
2018,Основное наказание – условное осуждение к иным мерам,Основное наказание – условное осуждение к иным мерам,12644
2020,Основное наказание – условное осуждение к иным мерам,Основное наказание – условное осуждение к иным мерам,10909
2022,Основное наказание – условное осуждение к иным мерам,Основное наказание – условное осуждение к иным мерам,12191
2021,Основное наказание – условное осуждение к иным мерам,Основное наказание – условное осуждение к иным мерам,12490
2023,Основное наказание – условное осуждение к иным мерам,Основное наказание – условное осуждение к иным мерам,9140
2019,Основное наказание – условное осуждение к иным мерам,Основное наказание – условное осуждение к иным мерам,12421
2024,Основное наказание – условное осуждение к иным мерам,Основное наказание – условное осуждение к иным мерам,6725
2018,Основное наказание – содержание в дисциплинароной воинской части,Основное наказание – содержание в дисциплинароной воинской части,108
2020,Основное наказание – содержание в дисциплинароной воинской части,Основное наказание – содержание в дисциплинароной воинской части,82
2022,Основное наказание – содержание в дисциплинароной воинской части,Основное наказание – содержание в дисциплинароной воинской части,86
2021,Основное наказание – содержание в дисциплинароной воинской части,Основное наказание – содержание в дисциплинароной воинской части,82
2023,Основное наказание – содержание в дисциплинароной воинской части,Основное наказание – содержание в дисциплинароной воинской части,54
2019,Основное наказание – содержание в дисциплинароной воинской части,Основное наказание – содержание в дисциплинароной воинской части,107
2024,Основное наказание – содержание в дисциплинароной воинской части,Основное наказание – содержание в дисциплинароной воинской части,21
2018,Основное наказание – ограничение по военной службе,Основное наказание – ограничение по военной службе,194
2020,Основное наказание – ограничение по военной службе,Основное наказание – ограничение по военной службе,187
2022,Основное наказание – ограничение по военной службе,Основное наказание – ограничение по военной службе,256
2021,Основное наказание – ограничение по военной службе,Основное наказание – ограничение по военной службе,206
2023,Основное наказание – ограничение по военной службе,Основное наказание – ограничение по военной службе,104
2019,Основное наказание – ограничение по военной службе,Основное наказание – ограничение по военной службе,243
2024,Основное наказание – ограничение по военной службе,Основное наказание – ограничение по военной службе,36
2018,Основное наказание – арест,Основное наказание – арест,0
2020,Основное наказание – арест,Основное наказание – арест,0
2022,Основное наказание – арест,Основное наказание – арест,0
2021,Основное наказание – арест,Основное наказание – арест,0
2023,Основное наказание – арест,Основное наказание – арест,0
2019,Основное наказание – арест,Основное наказание – арест,0
2024,Основное наказание – арест,Основное наказание – арест,0
2018,Дополнительные виды наказаний – лишение права занимать определенные должности или заниматься определенной деятельностью,Дополнительные виды наказаний – лишение права занимать определенные должности или заниматься определенной деятельностью,72852
2020,Дополнительные виды наказаний – лишение права занимать определенные должности или заниматься определенной деятельностью,Дополнительные виды наказаний – лишение права занимать определенные должности или заниматься определенной деятельностью,72429
2022,Дополнительные виды наказаний – лишение права занимать определенные должности или заниматься определенной деятельностью,Дополнительные виды наказаний – лишение права занимать определенные должности или заниматься определенной деятельностью,73340
2021,Дополнительные виды наказаний – лишение права занимать определенные должности или заниматься определенной деятельностью,Дополнительные виды наказаний – лишение права занимать определенные должности или заниматься определенной деятельностью,74399
2023,Дополнительные виды наказаний – лишение права занимать определенные должности или заниматься определенной деятельностью,Дополнительные виды наказаний – лишение права занимать определенные должности или заниматься определенной деятельностью,68131
2019,Дополнительные виды наказаний – лишение права занимать определенные должности или заниматься определенной деятельностью,Дополнительные виды наказаний – лишение права занимать определенные должности или заниматься определенной деятельностью,73068
2024,Дополнительные виды наказаний – лишение права занимать определенные должности или заниматься определенной деятельностью,Дополнительные виды наказаний – лишение права занимать определенные должности или заниматься определенной деятельностью,60755
2018,"Дополнительные виды наказаний – лишение специального воинского или почетного звания, классного чина и государственных наград","Дополнительные виды наказаний – лишение специального воинского или почетного звания, классного чина и государственных наград",251
2020,"Дополнительные виды наказаний – лишение специального воинского или почетного звания, классного чина и государственных наград","Дополнительные виды наказаний – лишение специального воинского или почетного звания, классного чина и государственных наград",228
2022,"Дополнительные виды наказаний – лишение специального воинского или почетного звания, классного чина и государственных наград","Дополнительные виды наказаний – лишение специального воинского или почетного звания, классного чина и государственных наград",357
2021,"Дополнительные виды наказаний – лишение специального воинского или почетного звания, классного чина и государственных наград","Дополнительные виды наказаний – лишение специального воинского или почетного звания, классного чина и государственных наград",330
2023,"Дополнительные виды наказаний – лишение специального воинского или почетного звания, классного чина и государственных наград","Дополнительные виды наказаний – лишение специального воинского или почетного звания, классного чина и государственных наград",528
2019,"Дополнительные виды наказаний – лишение специального воинского или почетного звания, классного чина и государственных наград","Дополнительные виды наказаний – лишение специального воинского или почетного звания, классного чина и государственных наград",302
2024,"Дополнительные виды наказаний – лишение специального воинского или почетного звания, классного чина и государственных наград","Дополнительные виды наказаний – лишение специального воинского или почетного звания, классного чина и государственных наград",718
2018,Дополнительное наказание – штраф,Дополнительное наказание – штраф,58487
2020,Дополнительное наказание – штраф,Дополнительное наказание – штраф,11502
2022,Дополнительное наказание – штраф,Дополнительное наказание – штраф,13476
2021,Дополнительное наказание – штраф,Дополнительное наказание – штраф,12406
2023,Дополнительное наказание – штраф,Дополнительное наказание – штраф,15200
2019,Дополнительное наказание – штраф,Дополнительное наказание – штраф,13584
2024,Дополнительное наказание – штраф,Дополнительное наказание – штраф,16541
2018,Дополнительное наказание – ограничение свободы,Дополнительное наказание – ограничение свободы,9306
2020,Дополнительное наказание – ограничение свободы,Дополнительное наказание – ограничение свободы,7485
2022,Дополнительное наказание – ограничение свободы,Дополнительное наказание – ограничение свободы,8412
2021,Дополнительное наказание – ограничение свободы,Дополнительное наказание – ограничение свободы,8102
2023,Дополнительное наказание – ограничение свободы,Дополнительное наказание – ограничение свободы,8090
2019,Дополнительное наказание – ограничение свободы,Дополнительное наказание – ограничение свободы,8555
2024,Дополнительное наказание – ограничение свободы,Дополнительное наказание – ограничение свободы,7664
2024,Дополнительное наказание в виде конфискации имущества,Дополнительное наказание в виде конфискации имущества,27428
2018,Дополнительное наказание в виде конфискации имущества,Дополнительное наказание в виде конфискации имущества,2755
2020,Дополнительное наказание в виде конфискации имущества,Дополнительное наказание в виде конфискации имущества,2932
2022,Дополнительное наказание в виде конфискации имущества,Дополнительное наказание в виде конфискации имущества,5545
2021,Дополнительное наказание в виде конфискации имущества,Дополнительное наказание в виде конфискации имущества,3834
2023,Дополнительное наказание в виде конфискации имущества,Дополнительное наказание в виде конфискации имущества,18931
2019,Дополнительное наказание в виде конфискации имущества,Дополнительное наказание в виде конфискации имущества,3001
