Год,Метка_норм,Показатель,Осуждено
2016,Совершили преступления – в состоянии наркотического и иного (кроме алкогольного) опьянения,Совершили преступления – в состоянии наркотического и иного (кроме алкогольного) опьянения,7490
2017,Совершили преступления – в состоянии наркотического и иного (кроме алкогольного) опьянения,Совершили преступления – в состоянии наркотического и иного (кроме алкогольного) опьянения,7077
2016,Совершили преступления – в группе,Совершили преступления – в группе,103539
2017,Совершили преступления – в группе,Совершили преступления – в группе,95463
2016,Совершили преступления – в состоянии алкогольного опьянения,Совершили преступления – в состоянии алкогольного опьянения,239065
2017,Совершили преступления – в состоянии алкогольного опьянения,Совершили преступления – в состоянии алкогольного опьянения,215949
2016,Совершили преступления – ранее судимые (без учета снятых и погашенных судимостей),Совершили преступления – ранее судимые (без учета снятых и погашенных судимостей),218454
2017,Совершили преступления – ранее судимые (без учета снятых и погашенных судимостей),Совершили преступления – ранее судимые (без учета снятых и погашенных судимостей),213354
2018,Совершили преступления – в состоянии наркотического и иного (кроме алкогольного) опьянения,Совершили преступления – в состоянии наркотического и иного (кроме алкогольного) опьянения,5435
2020,Совершили преступления – в состоянии наркотического и иного (кроме алкогольного) опьянения,Совершили преступления – в состоянии наркотического и иного (кроме алкогольного) опьянения,3740
2022,Совершили преступления – в состоянии наркотического и иного (кроме алкогольного) опьянения,Совершили преступления – в состоянии наркотического и иного (кроме алкогольного) опьянения,4311
2021,Совершили преступления – в состоянии наркотического и иного (кроме алкогольного) опьянения,Совершили преступления – в состоянии наркотического и иного (кроме алкогольного) опьянения,4226
2023,Совершили преступления – в состоянии наркотического и иного (кроме алкогольного) опьянения,Совершили преступления – в состоянии наркотического и иного (кроме алкогольного) опьянения,3893
2019,Совершили преступления – в состоянии наркотического и иного (кроме алкогольного) опьянения,Совершили преступления – в состоянии наркотического и иного (кроме алкогольного) опьянения,4374
2024,Совершили преступления – в состоянии наркотического и иного (кроме алкогольного) опьянения,Совершили преступления – в состоянии наркотического и иного (кроме алкогольного) опьянения,3814
2024,Совершили преступления – в группе,Совершили преступления – в группе,66882
2018,Совершили преступления – в группе,Совершили преступления – в группе,89940
2020,Совершили преступления – в группе,Совершили преступления – в группе,66696
2022,Совершили преступления – в группе,Совершили преступления – в группе,76658
2021,Совершили преступления – в группе,Совершили преступления – в группе,72168
2023,Совершили преступления – в группе,Совершили преступления – в группе,74152
2019,Совершили преступления – в группе,Совершили преступления – в группе,79726
2024,Совершили преступления – в состоянии алкогольного опьянения,Совершили преступления – в состоянии алкогольного опьянения,108272
2018,Совершили преступления – в состоянии алкогольного опьянения,Совершили преступления – в состоянии алкогольного опьянения,185540
2020,Совершили преступления – в состоянии алкогольного опьянения,Совершили преступления – в состоянии алкогольного опьянения,156884
2022,Совершили преступления – в состоянии алкогольного опьянения,Совершили преступления – в состоянии алкогольного опьянения,141312
2021,Совершили преступления – в состоянии алкогольного опьянения,Совершили преступления – в состоянии алкогольного опьянения,150054
2023,Совершили преступления – в состоянии алкогольного опьянения,Совершили преступления – в состоянии алкогольного опьянения,129526
2019,Совершили преступления – в состоянии алкогольного опьянения,Совершили преступления – в состоянии алкогольного опьянения,170966
2024,Совершили преступления – ранее судимые (без учета снятых и погашенных судимостей),Совершили преступления – ранее судимые (без учета снятых и погашенных судимостей),164907
2018,Совершили преступления – ранее судимые (без учета снятых и погашенных судимостей),Совершили преступления – ранее судимые (без учета снятых и погашенных судимостей),210253
2020,Совершили преступления – ранее судимые (без учета снятых и погашенных судимостей),Совершили преступления – ранее судимые (без учета снятых и погашенных судимостей),198962
2022,Совершили преступления – ранее судимые (без учета снятых и погашенных судимостей),Совершили преступления – ранее судимые (без учета снятых и погашенных судимостей),207858
2021,Совершили преступления – ранее судимые (без учета снятых и погашенных судимостей),Совершили преступления – ранее судимые (без учета снятых и погашенных судимостей),207982
2023,Совершили преступления – ранее судимые (без учета снятых и погашенных судимостей),Совершили преступления – ранее судимые (без учета снятых и погашенных судимостей),199643
2019,Совершили преступления – ранее судимые (без учета снятых и погашенных судимостей),Совершили преступления – ранее судимые (без учета снятых и погашенных судимостей),212101
