Год,Метка_норм,Показатель,Рассмотрено дел,Кол-во лиц по делам,Осуждено,Доля осужденных,Оправдано,Доля оправданных,Прекращено по реабил. основаниям,В особом порядке,Доля осужденных в особом порядке
2016,Дела по особо тяжким преступлениям,Дела по особо тяжким преступлениям,41033,47341,43351,91.0,188,0.0,17,7,0.0
2017,Дела по особо тяжким преступлениям,Дела по особо тяжким преступлениям,38176,43485,39650,91.0,196,0.0,17,9,0.0
2016,Дела по тяжким преступлениям,Дела по тяжким преступлениям,150268,173389,165186,95.0,360,0.0,42,102274,61.0
2017,Дела по тяжким преступлениям,Дела по тяжким преступлениям,138002,159873,151563,94.0,411,0.0,63,92409,61.0
2016,Дела по преступлениям средней тяжести,Дела по преступлениям средней тяжести,218911,251669,180777,71.0,191,0.0,89,133320,73.0
2017,Дела по преступлениям средней тяжести,Дела по преступлениям средней тяжести,212081,244177,170199,69.0,214,0.0,66,124004,72.0
2016,Дела по преступлениям небольшой тяжести,Дела по преступлениям небольшой тяжести,553718,552382,378646,68.0,2776,0.0,12724,308733,81.0
2017,Дела по преступлениям небольшой тяжести,Дела по преступлениям небольшой тяжести,526622,497410,363208,73.0,1412,0.0,3311,299306,82.0
2016,По делам частного обвинения,По делам частного обвинения,1093,1286,325,25.0,112,8.0,305,101,31.0
2017,По делам частного обвинения,По делам частного обвинения,372,362,86,23.0,49,13.0,59,15,17.0
2021,"Дела, рассмотренные коллегией судьей","Дела, рассмотренные коллегией судьей",588,731,683,93.0,4,0.0,0,13,1.0
2023,"Дела, рассмотренные коллегией судьей","Дела, рассмотренные коллегией судьей",870,1034,963,93.0,2,0.0,0,10,1.0
2019,Дела по особо тяжким преступлениям,Дела по особо тяжким преступлениям,125646,142205,134072,94.0,242,0.0,0,0,0.0
2024,"Дела, рассмотренные коллегией судьей","Дела, рассмотренные коллегией судьей",390,543,489,90.0,9,1.0,1,1,0.0
2018,Дела по особо тяжким преступлениям,Дела по особо тяжким преступлениям,35657,40137,36446,90.8,1,0.0,0,83,0.2
2020,Дела по особо тяжким преступлениям,Дела по особо тяжким преступлениям,117780,130812,122728,93.0,249,0.0,0,0,0.0
2022,"Дела, рассмотренные коллегией судьей","Дела, рассмотренные коллегией судьей",1,118,10,8.0,19,16.0,19,0,0.0
2021,"Дела, рассмотренные коллегией присяжных","Дела, рассмотренные коллегией присяжных",958,1249,776,62.0,363,29.0,0,2,0.0
2023,"Дела, рассмотренные коллегией присяжных","Дела, рассмотренные коллегией присяжных",1080,1447,945,65.0,360,25.0,1,0,0.0
2019,Дела по тяжким преступлениям,Дела по тяжким преступлениям,186645,213828,135039,63.0,355,0.0,11,1,0.0
2024,"Дела, рассмотренные коллегией присяжных","Дела, рассмотренные коллегией присяжных",941,1219,819,67.0,290,23.0,0,0,0.0
2018,Дела по тяжким преступлениям,Дела по тяжким преступлениям,128547,148726,140777,94.7,90,0.1,0,0,0.0
2020,Дела по тяжким преступлениям,Дела по тяжким преступлениям,175233,197757,120664,61.0,356,0.0,18,0,0.0
2022,"Дела, рассмотренные коллегией присяжных","Дела, рассмотренные коллегией присяжных",0,17,17,100.0,0,0.0,0,0,0.0
2021,Дела по особо тяжким преступлениям,Дела по особо тяжким преступлениям,35742,39109,34972,89.0,515,1.0,20,0,0.0
2023,Дела по особо тяжким преступлениям,Дела по особо тяжким преступлениям,40766,44952,40377,90.0,460,1.0,13,0,0.0
2019,Дела по преступлениям средней тяжести,Дела по преступлениям средней тяжести,460658,444943,317390,71.0,347,0.0,73,65916,20.0
2024,Дела по особо тяжким преступлениям,Дела по особо тяжким преступлениям,39127,42749,38100,89.0,402,0.0,3,0,0.0
2018,Дела по преступлениям средней тяжести,Дела по преступлениям средней тяжести,204926,235583,157480,66.8,227,0.1,12,6,0.0
2020,Дела по преступлениям средней тяжести,Дела по преступлениям средней тяжести,425331,417571,290173,69.0,362,0.0,49,36821,12.0
2022,Дела по особо тяжким преступлениям,Дела по особо тяжким преступлениям,11,3050,864,28.0,14,0.0,4,0,0.0
2021,Дела по тяжким преступлениям,Дела по тяжким преступлениям,139000,151574,141621,93.0,423,0.0,78,1726,1.0
2023,Дела по тяжким преступлениям,Дела по тяжким преступлениям,150208,161773,151557,94.0,384,0.0,74,886,1.0
2019,Дела по преступлениям небольшой тяжести,Дела по преступлениям небольшой тяжести,9237,9268,6957,75.0,205,2.0,109,81910,100.0
2024,Дела по тяжким преступлениям,Дела по тяжким преступлениям,142117,153908,143911,93.0,435,0.0,62,750,0.0
2018,Дела по преступлениям небольшой тяжести,Дела по преступлениям небольшой тяжести,515945,474782,347066,73.1,411,0.1,48,83885,24.2
2020,Дела по преступлениям небольшой тяжести,Дела по преступлениям небольшой тяжести,7025,7468,5286,70.0,183,2.0,54,67304,100.0
2022,Дела по тяжким преступлениям,Дела по тяжким преступлениям,79,7278,2883,39.0,1371,18.0,1226,0,0.0
2021,Дела по преступлениям средней тяжести,Дела по преступлениям средней тяжести,167668,188118,120520,64.0,515,0.0,20,0,0.0
2023,Дела по преступлениям средней тяжести,Дела по преступлениям средней тяжести,147057,159861,109059,68.0,460,0.0,13,0,0.0
2024,Дела по преступлениям средней тяжести,Дела по преступлениям средней тяжести,127645,136526,92410,67.0,402,0.0,3,0,0.0
2022,Дела по преступлениям средней тяжести,Дела по преступлениям средней тяжести,42,141307,2702,1.0,14,0.0,4,0,0.0
2021,Дела по преступлениям небольшой тяжести,Дела по преступлениям небольшой тяжести,427538,421670,304035,72.0,423,0.0,78,1726,0.0
2023,Дела по преступлениям небольшой тяжести,Дела по преступлениям небольшой тяжести,389137,384184,288018,75.0,384,0.0,74,886,0.0
2024,Дела по преступлениям небольшой тяжести,Дела по преступлениям небольшой тяжести,350989,346274,260223,75.0,435,0.0,62,750,0.0
2022,Дела по преступлениям небольшой тяжести,Дела по преступлениям небольшой тяжести,860,452035,4385,0.0,1371,0.0,1226,0,0.0
