Год,Статья_норм,Показатель,Осуждено,Оправдано,Лишение свободы,Условное лишение свободы,Ограничение свободы,Штраф,Исправительные работы,Обязательные работы,Принудительные меры к невменяемым
2017,ВСЕГО,Всего по составам УК РФ,697174,1563,197537,176557,25112,90932,56421,129495,8337
2016,ВСЕГО,Всего по составам УК РФ,740380,2640,203788,184618,25368,100348,53172,142084,0
2017,Небольшой тяжести,Небольшой тяжести,348325,1047,37880,47117,20999,73029,48100,107110,3041
2016,Небольшой тяжести,Небольшой тяжести,364382,2191,34823,46819,21439,78740,43995,118964,0
2017,Средней тяжести,Средней тяжести,162661,129,50177,60453,3889,12694,7955,21894,2140
2016,Средней тяжести,Средней тяжести,173309,125,50960,63290,3712,14473,8775,22740,0
2017,Тяжкие,Тяжкие,148588,281,73411,67771,215,5042,364,483,2000
2016,Тяжкие,Тяжкие,162183,235,79104,73128,233,7051,401,377,0
2017,Особо тяжкие,Особо тяжкие,37571,106,36085,1224,12,130,2,7,1157
2016,Особо тяжкие,Особо тяжкие,40638,91,38912,1396,13,141,12,5,0
2017,105 ч.1,Статья 105 часть 1 УК РФ,6321,17,6283,32,1,0,0,0,461
2016,105 ч.1,Статья 105 часть 1 УК РФ,6952,14,6899,41,1,0,1,0,0
2017,105 ч.2,Статья 105 часть 2 УК РФ,1702,21,1641,3,0,0,0,0,99
2016,105 ч.2,Статья 105 часть 2 УК РФ,1969,30,1886,9,0,0,0,0,0
2017,106,Статья 106 УК РФ,42,0,23,13,6,0,0,0,4
2016,106,Статья 106 УК РФ,59,0,33,21,5,0,0,0,0
2017,107 ч.1,Статья 107 часть 1 УК РФ,84,0,8,2,55,0,14,0,0
2016,107 ч.1,Статья 107 часть 1 УК РФ,72,0,6,3,37,0,8,0,0
2017,107 ч.2,Статья 107 часть 2 УК РФ,3,0,2,1,0,0,0,0,0
2016,107 ч.2,Статья 107 часть 2 УК РФ,2,0,1,0,0,0,0,0,0
2017,108 ч.1,Статья 108 часть 1 УК РФ,260,2,44,14,129,0,47,0,5
2016,108 ч.1,Статья 108 часть 1 УК РФ,286,4,52,15,127,2,48,0,0
2017,108 ч.2,Статья 108 часть 2 УК РФ,1,0,1,0,0,0,0,0,0
2016,108 ч.2,Статья 108 часть 2 УК РФ,2,0,0,0,2,0,0,0,0
2017,109 ч.1,Статья 109 часть 1 УК РФ,900,2,164,75,387,3,200,0,12
2017,109 ч.2,Статья 109 часть 2 УК РФ,146,7,2,3,107,0,0,1,0
2016,109 ч.1,Статья 109 часть 1 УК РФ,1012,5,154,91,424,5,237,2,0
2016,109 ч.2,Статья 109 часть 2 УК РФ,128,9,0,3,76,2,1,0,0
2017,109 ч.3,Статья 109 часть 3 УК РФ,48,3,20,17,11,0,0,0,0
2016,109 ч.3,Статья 109 часть 3 УК РФ,55,0,26,22,5,0,0,0,0
2017,110,Статья 110 УК РФ,15,0,7,6,0,0,0,0,0
2016,110,Статья 110 УК РФ,10,0,3,3,3,0,0,0,0
2017,110.1,Статья 110.1 УК РФ,0,0,0,0,0,0,0,0,0
2017,110.2,Статья 110.2 УК РФ,0,0,0,0,0,0,0,0,0
